kode_group	produk_id	freq	total
BX	BF.01.0006	9	662310127.00
BX	BF.01.0013	10	595322386.00
BX	BF.01.0009	8	545638558.00
BX	BF.01.0011	21	544250468.00
BX	BF.01.0008	7	483332053.00
BX	BF.01.0005	4	426999099.10
BX	BF.01.0001	11	415425471.00
BX	BF.01.0012	1	185500000.00
BX	BF.01.0007	1	140000000.00
BX	BF.01.0010	2	116000000.00
BX	BF.01.0002	1	112612613.00
BX	BF.01.0003	1	61293694.00
L	LE.06.0002	66	2008335853.33
L	LW.03.0001	464	1763031260.00
L	LF.05.0001	1482	1666475000.00
L	LC.12.0001	148	537923000.00
L	LB.01.0124	32	520050000.00
L	LT.04.0001	917	505673000.00
L	LF.03.0009	27	429373505.00
L	LH.02.0005	142	333520736.00
L	LE.01.0002	4	317335000.00
L	TS.066-8344C	177	292905500.00
L	LF.05.0002	281	237929124.00
L	LH.01.0053	68	228794241.00
L	LH.01.0013	103	217755136.80
L	LO.05.0003	223	211655000.00
L	LE.04.0005	185	194835364.00
L	LH.01.0014	56	167174613.00
L	LB.01.0098	5	166671000.00
L	LH.02.0007	90	122364600.00
L	LH.01.0050	47	122139437.00
L	TS.030-0243C	80	120602468.50
L	LP.01.0067	9	120321000.00
L	LI.01.0004	186	100825000.00
L	LO.05.0001	172	99711500.00
L	LC.01.0022	33	98100000.00
L	LH.01.0048	33	94608359.00
L	LE.06.0001	4	88350000.00
L	LH.01.0051	19	74200274.00
L	LH.01.0007	61	71584638.00
L	LH.01.0006	88	61770414.00
L	LH.01.0012	33	58892946.00
L	LC.12.0002	13	58116750.00
L	LI.01.0001	167	54000000.00
L	LW.03.0006	14	53350000.00
L	LA.06.0014	18	50400000.00
L	LD.02.0003	92	49860000.00
L	LC.01.0001	19	47600000.00
L	LK.06.0004	3	42815283.00
L	LH.01.0008	103	42736522.00
