"stok","nm","qty","sinv","in02","in09","ret12","mutout19","cogs22","retjual","expected","overvalue"
"TR.038A","T-1200 R    EVAP/C","39.00","9637819583.73","9303527.00","1290780696.01","0.00","3022384714.24","141100798694.33","0.00","-142823099185.56","152460918769.29"
"TR.039A","T-1080 PRO  EVAP/C","25.00","5280171127.00","3562960.00","0.00","0.00","0.00","52866284993.18","0.00","-52862722033.18","58142893160.18"
"TR.1006A","SV-600  EVAP/COND","18.00","712547937.65","2657322.00","3795286013.20","0.00","3316113675.25","41828627473.56","0.00","-41346797813.61","42059345751.26"
"TR.1002A","SV-400 EVAP/COND","51.00","1767122971.57","267013524.00","4508338973.74","0.00","4291617834.54","38285379211.96","0.00","-37801644548.76","39568767520.33"
"TR.1004A","SV-400  EVAP/COND","17.00","600763860.10","1863411.00","2966694287.85","0.00","3258167269.14","28952299881.32","0.00","-29241909451.61","29842673311.71"
"TR.1003A","SV-600 EVAP/COND","44.00","1692435909.43","845846.00","1808623538.47","0.00","3131648481.89","11420874318.22","0.00","-12743053415.64","14435489325.07"
"TR.1007A","SV-800  EVAP/COND/","5.00","252977065.11","419096.00","189525160.59","0.00","315839936.06","6203037068.75","0.00","-6328932748.22","6581909813.33"
"TR.910A","RV-300 12V EVAP/CO","34.00","923616446.40","393578.00","108135776.00","0.00","0.00","5670280324.83","0.00","-5561750970.83","6485367417.23"
"TR.040A","T-1280 E  EVAP/CON","9.00","1817238781.69","286440.00","200340477.00","0.00","0.00","3000727314.29","0.00","-2800100397.29","4617339178.98"
"TR.911A","RV-300 24V EVAP/CO","2.00","53098095.19","41960.00","0.00","0.00","0.00","610508026.12","0.00","-610466066.12","663564161.31"
"TR.1009A","SV-1000  EVAP/COND","1.00","54588920.35","23000.00","54588920.00","0.00","54157817.00","303330505.85","0.00","-302876402.85","357465323.20"
"TR.1010A","SV-1080S EVAP/COND","2.00","121944433.38","7000.00","0.00","0.00","0.00","0.00","0.00","7000.00","121937433.38"
"TR.912A","EV-380 24V EVAP/CO","2.00","99984785.64","2930.00","49992393.00","0.00","0.00","0.00","0.00","49995323.00","49989462.64"
"TR.038B","COMPRESSOR X-430 4","1.00","38099711.59","2292.75","0.00","0.00","0.00","0.00","0.00","2292.75","38097418.84"
"TR.904A","F-3 EVAP/COND","1.00","28521500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28521500.00"
"TR.401A","EVAPORATOR  :","2.00","11845404.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11845404.00"
"TR.400A","THERMOKING V-090E","1.00","5922702.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5922702.00"
"TR.301A","EVAPORATOR  :","1.00","5922702.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5922702.00"
"TR.903A","V-280 EVAPORATOR","1.00","4996953.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4996953.00"
"TR.904","THERMO KING  F-3  ","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1004","THERMO KING SV-400","9.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1006","THERMO KING SV-600","16.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.401","THERMO KING V-090 ","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1010","THERMO KING SV-108","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.301","THERMO KING V-090H","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1003","THERMO KING SV-600","72.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1008","THERMO KING SV-800","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.910","THERMO KING RV-300","25.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.039","THERMO KING T-1080","14.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.038","THERMO KING T-1200","83.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1007","THERMO KING SV-800","8.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1009","THERMO KING SV-100","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.902F","PERLENGKAPAN UNIT","1.00","695000.00","695000.00","0.00","0.00","0.00","0.00","0.00","695000.00","0.00"
"TR.912","THERMO KING EV-380","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1002","THERMO KING SV-400","42.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.040","THERMO KING T-1280","9.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.911","THERMO KING RV-300","7.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
