"tgl","bukti","voucher","item","akun","qty","user","avg_awal_bln","beli_unit_bln","avg_ref","est_nilai_hilang","klasifikasi"
"2026-01-02","10126012200016","","TR.039","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-05","10126012200006","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-05","10126012200013","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-06","10126012200018","","TR.1003","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-07","10126012200017","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-08","10126012200020","","TR.1002","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-08","10126012200021","","TR.1002","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-12","10126012200031","","TR.910","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-12","10126012200033","","TR.1002","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-12","10126012200034","","TR.1002","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-12","10126012200035","","TR.1002","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-12","10126012200036","","TR.1002","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-12","10126012200045","","TR.040","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-13","10126012200050","","TR.910","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-13","10126012200042","","TR.039","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-14","10126012200059","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-14","10126012200052","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-14","10126012200049","","TR.1004","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-15","10126012200060","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-15","10126012200061","","TR.910","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-15","10126012200070","","TR.040","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-19","10126012200069","","TR.1006","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-20","10126012200084","","TR.1003","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-20","10126012200080","","TR.039","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-20","10126012200079","","TR.040","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-22","10126012200096","","TR.1004","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-22","10126012200095","","TR.1003","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-22","10126012200082","","TR.1002","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-22","10126012200081","","TR.910","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-23","10126012200107","","TR.910","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-26","10126012200100","","TR.1002","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-26","10126012200109","","TR.039","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
