"akun","stok_id","nama","qty","nilai"
"102-001","TR.038A","T-1200 R    EVAP/COND","39.00","9637819583.73"
"102-001","TR.039A","T-1080 PRO  EVAP/COND","25.00","5280171127.00"
"102-001","TR.040A","T-1280 E  EVAP/COND","9.00","1817238781.69"
"102-001","TR.1002A","SV-400 EVAP/COND","51.00","1767122971.57"
"102-001","TR.1003A","SV-600 EVAP/COND","44.00","1692435909.43"
"102-001","TR.910A","RV-300 12V EVAP/COND","34.00","923616446.40"
"102-001","TR.1006A","SV-600  EVAP/COND","18.00","712547937.65"
"102-001","TR.1004A","SV-400  EVAP/COND","17.00","600763860.10"
"102-001","TR.1007A","SV-800  EVAP/COND/COMPR","5.00","252977065.11"
"102-001","TR.1010A","SV-1080S EVAP/COND","2.00","121944433.38"
"102-001","TR.912A","EV-380 24V EVAP/COND","2.00","99984785.64"
"102-001","TR.1009A","SV-1000  EVAP/COND","1.00","54588920.35"
"102-001","TR.911A","RV-300 24V EVAP/COND","2.00","53098095.19"
"102-001","TR.038B","COMPRESSOR X-430 4QT NEWX T-1200R (802-1","1.00","38099711.59"
"102-001","TR.904A","F-3 EVAP/COND","1.00","28521500.00"
"102-001","TR.401A","EVAPORATOR  :","2.00","11845404.00"
"102-001","TR.400A","THERMOKING V-090E","1.00","5922702.00"
"102-001","TR.301A","EVAPORATOR  :","1.00","5922702.00"
"102-001","TR.903A","V-280 EVAPORATOR","1.00","4996953.00"
"102-001","TR.902F","PERLENGKAPAN UNIT","1.00","695000.00"
"102-001","TR.904","THERMO KING  F-3  EUTECTIC","1.00","0.00"
"102-001","TR.1008","THERMO KING SV-800 (12V)","1.00","0.00"
"102-001","TR.1006","THERMO KING SV-600 (24V)","16.00","0.00"
"102-001","TR.912","THERMO KING EV-380 24V","1.00","0.00"
"102-001","TR.1003","THERMO KING SV-600 (12V)","72.00","0.00"
"102-001","TR.1004","THERMO KING SV-400 (24V)","9.00","0.00"
"102-001","TR.1010","THERMO KING SV-1080S (24V)","2.00","0.00"
"102-001","TR.039","THERMO KING T-1080 PRO","14.00","0.00"
"102-001","TR.1007","THERMO KING SV-800 (24V)","8.00","0.00"
"102-001","TR.040","THERMO KING T-1280 E","9.00","0.00"
"102-001","TR.911","THERMO KING RV-300 24V","7.00","0.00"
"102-001","TR.038","THERMO KING T-1200 R","83.00","0.00"
"102-001","TR.301","THERMO KING V-090H","1.00","0.00"
"102-001","TR.1009","THERMO KING SV-1000 (24V)","1.00","0.00"
"102-001","TR.401","THERMO KING V-090 MAX 12V  +  V-190","2.00","0.00"
"102-001","TR.1002","THERMO KING SV-400 (12V)","42.00","0.00"
"102-001","TR.910","THERMO KING RV-300 12V","25.00","0.00"
"102-006","TB.10001","TDD - EVAP/COND","7.00","1030669642.80"
"102-006","TB.5010","CS-1100  EVAP/COND","8.00","625265200.38"
"102-006","TB.5008","C-1000  COMPRESSOR X-430","6.00","257591628.00"
"102-006","TB.066Z","COMPRESSOR BITZER 4 NFCY 2A 2B 24VDC (10","39.00","191100000.00"
"102-006","TB.3001","SR-70 EVAP/COND ASSY","2.00","180236567.70"
"102-006","TB.340112","COMPRESSOR BOCK FK50/40 FKX50/830K","7.00","176603506.67"
"102-006","TB.10003","TDD - COMPRESSOR BOCK FKX 50/8","5.00","140808640.45"
"102-006","TB.4001","ASR - EVAP/COND ASSY","1.00","52350000.00"
"102-006","TB.067A","COMPRESSOR TM-21  24V (2 GOT A)","6.00","26842638.75"
"102-006","BOAA601597","STRONG ION AIR PURIFIER","4.00","13810065.17"
"102-006","TB.065D","MAGNIT  SD 7H15  24V","27.00","13137234.05"
"102-006","TB.066M","HUB ARMATURE SD 7H15","4.00","12400000.00"
"102-006","TB.062F","PULLEY COMPR TM-16 1 GOT B D150","18.00","9520079.08"
"102-006","TB.048","COMPRESSOR TK-31 24V","1.00","9294883.96"
"102-006","TB.066T","COMPRESSOR SD7L15 2A 12V","3.00","7658571.43"
"102-006","TB.066N","COMPRESSOR SD 7 H13  12V","1.00","2954368.44"
"102-006","TB.066X","COMPRESSOR SD7L15 2A 24V","1.00","2604920.11"
"102-006","BOAA601582","DISPLAY SCREEN AIR PURIFIER","1.00","2071509.74"
"102-006","TB.066H","COMPRESSOR SD 5 S11 (12V)","1.00","1821250.00"
"102-006","TB.065C","MAGNIT SD 7H15    12V","20.00","1623350.86"
"102-006","TB.054B","MAGNIT 12V  TM-13/15/16","4.00","1040005.37"
"102-006","TB.066G","COMPRESSOR SD 5S14 12V","1.00","900000.34"
"102-006","TB.067Q","MAGNIT CLUTCH 24V SANDEN","1.00","250000.00"
"102-006","TB.5009","THERMO KING CS-1100","6.00","0.00"
"102-006","TB.10000","THERMO KING TDD-S 1004","1.00","0.00"
"102-006","TB.4000","THERMO KING  - ASR","1.00","0.00"
"102-006","TB.3000","THERMO KING SR-70","4.00","0.00"
"102-006","TB.7000","THERMO KING  X-900","1.00","0.00"
