"stok_id","nama","prod_qty","prod_nilai","lokal_qty","lokal_nilai","selisih_nilai","selisih_qty"
"TR.038A","T-1200 R    EVAP/COND","39.00","9637819583.73","45.00","11120561058.15","-1482741474.42","-6.00"
"TR.039A","T-1080 PRO  EVAP/COND","25.00","5280171127.00","31.00","6547412197.48","-1267241070.48","-6.00"
"TR.040A","T-1280 E  EVAP/COND","9.00","1817238781.69","13.00","2624900462.47","-807661680.78","-4.00"
"TR.1002A","SV-400 EVAP/COND","51.00","1767122971.57","51.00","1767122971.57","0.00","0.00"
"TR.1003A","SV-600 EVAP/COND","44.00","1692435909.43","44.00","1692435909.43","0.00","0.00"
"TR.910A","RV-300 12V EVAP/COND","34.00","923616446.40","51.00","1385424669.60","-461808223.20","-17.00"
"TR.1006A","SV-600  EVAP/COND","18.00","712547937.65","42.00","1662611854.68","-950063917.03","-24.00"
"TR.1004A","SV-400  EVAP/COND","17.00","600763860.10","23.00","812798163.57","-212034303.47","-6.00"
"TR.1007A","SV-800  EVAP/COND/COMPR","5.00","252977065.11","9.00","455358717.18","-202381652.07","-4.00"
"TR.1010A","SV-1080S EVAP/COND","2.00","121944433.38","2.00","121944433.38","0.00","0.00"
"TR.912A","EV-380 24V EVAP/COND","2.00","99984785.64","2.00","99984785.64","0.00","0.00"
"TR.1009A","SV-1000  EVAP/COND","1.00","54588920.35","1.00","54588920.35","0.00","0.00"
"TR.911A","RV-300 24V EVAP/COND","2.00","53098095.19","2.00","53098095.19","0.00","0.00"
"TR.038B","COMPRESSOR X-430 4QT NEWX T-1200R (802-1","1.00","38099711.59","1.00","38099711.59","0.00","0.00"
"TR.904A","F-3 EVAP/COND","1.00","28521500.00","1.00","28521500.00","0.00","0.00"
"TR.401A","EVAPORATOR  :","2.00","11845404.00","2.00","11845404.00","0.00","0.00"
"TR.400A","THERMOKING V-090E","1.00","5922702.00","1.00","5922702.00","0.00","0.00"
"TR.301A","EVAPORATOR  :","1.00","5922702.00","1.00","5922702.00","0.00","0.00"
"TR.903A","V-280 EVAPORATOR","1.00","4996953.00","1.00","4996953.00","0.00","0.00"
"TR.902F","PERLENGKAPAN UNIT","1.00","695000.00","1.00","695000.00","0.00","0.00"
"TR.903C","V-280 INSTALATION KIT","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.903","T.KING V-280 (12V)","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.600B","CONDENSOR    :","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.903B","V-280  CONDENSOR","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.401P","THERMO KING V-090 MAX 12V  +  V-190","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.901A","EVAPORATOR  :","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.901B","CONDENSOR    :","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.600P","THERMO KING V-170 (12V)","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.901","THERMO KING V-250 10D (12V)","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.901P","THERMO KING V-250 10D (12V)","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.902E","BRACKET COND","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.600","THERMO KING V-170 (12V)","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.600A","EVAPORATOR  :","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.902D","CONVERTER + RELAY (24V)","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.908P","THERMO KING V-700 MAX","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.909","THERMO KING  KV-300MAX","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.908A","V-700 EVAP/COND","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.907P","THERMO KING V-200  MAX","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.908","THERMO KING V-700 MAX","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.909A","KV-300 EVAP/COND","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.912","THERMO KING EV-380 24V","1.00","0.00","1.00","0.00","0.00","0.00"
"TR,1000","THERMOKING KV-500 MAX 24V","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.911","THERMO KING RV-300 24V","7.00","0.00","1.00","0.00","0.00","6.00"
"TR.909P","THERMO KING KV-300 MAX","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.910","THERMO KING RV-300 12V","25.00","0.00","35.00","0.00","0.00","-10.00"
"TR.907A","V-200 EVAP/COND","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.904P","THERMO KING  F-3  EUTECTIC","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.905","THERMO KING V-300    12V  +  24V","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.904","THERMO KING  F-3  EUTECTIC","1.00","0.00","1.00","0.00","0.00","0.00"
"TR.903D","V-280 BRACKET CONDENSER (HORIZONTAL)","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.903F","V-280 ELECTRIC STANDBY","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.905A","V-300  EVAP/COND","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.906P","THERMO KING  V-500 MAX","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.907","THERMO KING V-200  MAX","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.906A","V-500  EVAP/COND","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.905P","THERMO KING V-300    12V  +  24V","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.906","THERMO KING  V-500 MAX","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.038","THERMO KING T-1200 R","83.00","0.00","57.00","0.00","0.00","26.00"
"TR.039","THERMO KING T-1080 PRO","14.00","0.00","20.00","0.00","0.00","-6.00"
"TR.037A","T-1000 R  EVAP/COND","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.036A","T-1000 R  EVAP/COND","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.037","THERMO KING T-1000 R","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1000","THERMOKING  KV-500","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1000A","KV-500MAX EVAP/COND","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.040","THERMO KING T-1280 E","9.00","0.00","13.00","0.00","0.00","-4.00"
"TR.039B","T-1080 COMPRESSOR","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.039C","T-1080 ENGINE","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.036","THERMO KING T-1000 R","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.034A","THERMO KING RDII50 TCI  E/C","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.034AP","THERMO KING RDII50 TCI  E/C","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.010P","SNWD-50 ES TRAIL REF. R502","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.005A","UNIT THERMO KING V-300 12V (TP COMPRESSO","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.010","SNWD-50 ES TRAIL REF. R502","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.035C","ENGINE","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.035D","COMPRESSOR X-426P NEWX T-1000M (802-1149","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.035B","T-1000  COMPRESSOR","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.035","THERMOKING  T-1000","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.035A","T-1000  EVAP/COND","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.300A","V-090 EVAP","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.300B","V-090 COND","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.300","T.KING V-090","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1009","THERMO KING SV-1000 (24V)","1.00","0.00","1.00","0.00","0.00","0.00"
"TR.1010","THERMO KING SV-1080S (24V)","2.00","0.00","2.00","0.00","0.00","0.00"
"TR.401","THERMO KING V-090 MAX 12V  +  V-190","2.00","0.00","2.00","0.00","0.00","0.00"
"TR.401B","CONDENSOR    :","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.301P","THERMO KING V-090H","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.301","THERMO KING V-090H","1.00","0.00","1.00","0.00","0.00","0.00"
"TR.301B","CONDENSOR    :","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1008A","SV-800 EVAP/COND/COMPR","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1003","THERMO KING SV-600 (12V)","72.00","0.00","72.00","0.00","0.00","0.00"
"TR.1004","THERMO KING SV-400 (24V)","9.00","0.00","15.00","0.00","0.00","-6.00"
"TR.1002","THERMO KING SV-400 (12V)","42.00","0.00","42.00","0.00","0.00","0.00"
"TR.1000P","THERMO KING KV-500 MAX  24V","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1001","THERMO KING VM-400MAX","0.00","0.00","0.00","0.00","0.00","0.00"
"TR.1007","THERMO KING SV-800 (24V)","8.00","0.00","12.00","0.00","0.00","-4.00"
