"serial","stok_id","produk_desc","tgl_wipout","bukti_wipout","nilai_wipout","catatan_hpp","ada_faktur_jual"
"CIM1083290","TR.038A","T-1200 R    EVAP/COND","12/31/2025 12:00:00 AM","10125128800064","247123579.07","hpp berisi","1"
"CIM1083284","TR.038A","T-1200 R    EVAP/COND","12/26/2025 12:00:00 AM","10125128800060","247123579.07","hpp berisi","1"
"CIM1086504","TR.039A","T-1080 PRO  EVAP/COND","12/31/2025 12:00:00 AM","10125128800065","211206845.08","hpp berisi","1"
"CIM1079815","TR.039A","T-1080 PRO  EVAP/COND","11/5/2025 12:00:00 AM","10125118800011","209664529.65","hpp berisi","1"
"CIM1081825","TR.040A","T-1280 E  EVAP/COND","12/4/2025 12:00:00 AM","10125128800023","201915420.19","hpp berisi","1"
"CIM1084287","TR.1007A","SV-800  EVAP/COND/COMPR","12/16/2025 12:00:00 AM","10125128800050","50595413.02","hpp berisi","1"
"CIM1086244","TR.1007A","SV-800  EVAP/COND/COMPR","12/4/2025 12:00:00 AM","10125128800019","50595413.02","hpp berisi","1"
"CIM1086243","TR.1007A","SV-800  EVAP/COND/COMPR","12/4/2025 12:00:00 AM","10125128800018","50595413.02","hpp berisi","1"
"CIM1050198","TR.1006A","SV-600  EVAP/COND","12/27/2024 12:00:00 AM","10124128800068","40371775.34","hpp berisi","1"
"CIM1083704","TR.1006A","SV-600  EVAP/COND","12/18/2025 12:00:00 AM","10125128800052","39585996.54","hpp berisi","1"
"CIM1079958","TR.1003A","SV-600 EVAP/COND","12/31/2025 12:00:00 AM","10125128800066","38464452.49","hpp berisi","1"
"CIM1056907","TR.1003A","SV-600 EVAP/COND","12/4/2025 12:00:00 AM","10125128800027","38464452.49","hpp berisi","1"
"CIM1076041","TR.1002A","SV-400 EVAP/COND","12/3/2025 12:00:00 AM","10125128800016","34649470.03","hpp berisi","1"
"CIM1076030","TR.1002A","SV-400 EVAP/COND","12/26/2025 12:00:00 AM","10125128800059","34649470.03","hpp berisi","1"
"CIM1076042","TR.1002A","SV-400 EVAP/COND","12/11/2025 12:00:00 AM","10125128800043","34649470.03","hpp berisi","1"
"CIM1076035","TR.1002A","SV-400 EVAP/COND","12/31/2025 12:00:00 AM","10125128800068","34649470.03","hpp berisi","1"
"CIM1061687","TR.1002A","SV-400 EVAP/COND","10/16/2025 12:00:00 AM","10125108800030","34396961.94","hpp berisi","1"
"CIM1083373","TR.910A","RV-300 12V EVAP/COND","12/2/2025 12:00:00 AM","10125128800008","27165189.60","hpp berisi","1"
"CIM1083390","TR.910A","RV-300 12V EVAP/COND","12/31/2025 12:00:00 AM","10125128800067","27165189.60","hpp berisi","1"
"CIM1083383","TR.910A","RV-300 12V EVAP/COND","12/3/2025 12:00:00 AM","10125128800017","27165189.60","hpp berisi","1"
"CIM1083362","TR.910A","RV-300 12V EVAP/COND","12/11/2025 12:00:00 AM","10125128800040","27165189.60","hpp berisi","1"
"CIM1083379","TR.910A","RV-300 12V EVAP/COND","12/26/2025 12:00:00 AM","10125128800058","27165189.60","hpp berisi","1"
"CIM1066366","TR.910A","RV-300 12V EVAP/COND","9/23/2025 12:00:00 AM","10125098800059","27033944.08","hpp berisi","1"
"AKVB002994","TR.1004","THERMO KING SV-400 (24V)","3/31/2022 12:00:00 AM","10122038800045","0.00","HPP=0 (understated)","1"
"AKVA002856","TR.1002","THERMO KING SV-400 (12V)","3/15/2021 12:00:00 AM","10121038800044","0.00","HPP=0 (understated)","2"
"AKVA002799","TR.1002","THERMO KING SV-400 (12V)","12/17/2020 12:00:00 AM","10120128800015","0.00","HPP=0 (understated)","2"
"AKTL000587","TR.038","THERMO KING T-1200 R","11/20/2020 12:00:00 AM","10120118800023","0.00","HPP=0 (understated)","2"
"AKXA001143","TR.1008A","SV-800 EVAP/COND/COMPR","11/25/2019 12:00:00 AM","10120118800001","0.00","HPP=0 (understated)","2"
"AKVB002634","TR.1004","THERMO KING SV-400 (24V)","9/1/2020 12:00:00 AM","10120098800025","0.00","HPP=0 (understated)","2"
"AKVA002613","TR.1002","THERMO KING SV-400 (12V)","11/13/2019 12:00:00 AM","10119118800047","0.00","HPP=0 (understated)","2"
"AKVB002412","TR.1004","THERMO KING SV-400 (24V)","9/10/2019 12:00:00 AM","10119098800044","0.00","HPP=0 (understated)","2"
"AKVA002352","TR.1002","THERMO KING SV-400 (12V)","8/7/2019 12:00:00 AM","10119088800020","0.00","HPP=0 (understated)","2"
"AKVF002028","TR.1006","THERMO KING SV-600 (24V)","8/12/2019 12:00:00 AM","10119088800006","0.00","HPP=0 (understated)","2"
"AKVB001983","TR.1004","THERMO KING SV-400 (24V)","1/1/2019 12:00:00 AM","10119018800051","0.00","HPP=0 (understated)","2"
"AKTL000350","TR.038","THERMO KING T-1200 R","1/31/2019 12:00:00 AM","10119018800050","0.00","HPP=0 (understated)","2"
