"faktur_tgl","wipout_tgl","lintas_bln","stok_id","nama","serial","faktur","qty","cogs_posted","hpp_wipout","selisih_total","order_client"
"2026-01-26","2025-10-16","YA","TR.1002A","SV-400 EVAP/COND","CIM1061687","10126012200100","1.00","34649470.03","34396961.94","252508.09","10103260100031"
"2026-01-28","2024-12-27","YA","TR.1006A","SV-600  EVAP/COND","CIM1050198","10126012200136","1.00","39585996.54","40371775.34","-785778.80","10103260100047"
"2026-02-03","2026-01-28","YA","TR.1007A","SV-800  EVAP/COND/","CIM1086245","10126022200012","1.00","51352987.91","50595413.02","757574.89","10103260200001"
"2026-02-03","2026-01-14","YA","TR.1007A","SV-800  EVAP/COND/","CIM1086242","10126022200055","1.00","51352987.91","50595413.02","757574.89","10103260200015"
"2026-02-05","2025-11-05","YA","TR.039A","T-1080 PRO  EVAP/C","CIM1079815","10126022200054","1.00","211176868.43","209664529.65","1512338.78","10103260200014"
"2026-02-10","2026-01-26","YA","TR.1006A","SV-600  EVAP/COND","CIM1083238","10126022200044","1.00","40187486.90","39585996.54","601490.37","10103260200008"
"2026-02-10","2026-01-26","YA","TR.1006A","SV-600  EVAP/COND","CIM1083268","10126022200043","1.00","40187486.90","39585996.54","601490.37","10103260200007"
"2026-02-18","2025-12-16","YA","TR.1007A","SV-800  EVAP/COND/","CIM1084287","10126022200066","1.00","51352987.91","50595413.02","757574.89","10103260200019"
"2026-02-23","2025-12-04","YA","TR.1007A","SV-800  EVAP/COND/","CIM1086244","10126022200101","1.00","51352987.91","50595413.02","757574.89","10103260200047"
"2026-02-23","2025-12-04","YA","TR.1007A","SV-800  EVAP/COND/","CIM1086243","10126022200100","1.00","51352987.91","50595413.02","757574.89","10103260200046"
"2026-04-02","2026-03-02","YA","TR.1006A","SV-600  EVAP/COND","CIM1091059","10126042200044","1.00","41231431.89","40187486.90","1043944.99","10103260400010"
"2026-04-02","2026-02-23","YA","TR.1006A","SV-600  EVAP/COND","CIM1083231","10126042200026","1.00","41231431.89","40187486.90","1043944.99","10103260400005"
"2026-04-06","2026-03-16","YA","TR.1006A","SV-600  EVAP/COND","CIM1091060","10126042200024","1.00","41231431.89","40187486.90","1043944.99","10103260400003"
