retrieve ok 160 ms
   | 0.00 | n=282
  102-001 | 10565487637.44 | n=103
  102-003 | 55094965.00 | n=32
  102-006 | 1877122940.89 | n=247
  102-010 | 248216000.41 | n=42
  102-011 | 0.00 | n=92
  102-015 | 0.00 | n=10
  102-016 | 0.00 | n=24
  102-017 | 0.00 | n=54
  102-018 | 0.00 | n=18
  102-101 | 7137597204.77 | n=2232
  102-102 | 165300803.59 | n=153
  102-103 | 136458389.78 | n=120
  102-106 | 0.00 | n=395
  102-108 | 0.00 | n=31
  102-109 | 0.00 | n=23
  102-110 | 3228250209.66 | n=2350
  102-113 | 96065711.76 | n=118
  102-120 | 0.00 | n=163
  102-201 | 98973278.37 | n=1
  102-203 | 0.00 | n=13
  102-254 | -0.02 | n=9
