akun     grp           report_akhir           GL_ledger           selisih
102-001  TR        7,528,916,451.31    7,528,916,451.77             -0.46
102-003  NR           55,094,965.00       55,094,965.15             -0.15
102-006  TB        1,729,884,420.49    1,729,884,419.70              0.79
102-010  TYU         248,216,000.41      248,216,000.12              0.29
102-101  TS        7,137,597,204.77    7,137,597,199.43              5.34
102-102  TL          165,300,803.59      165,300,795.03              8.56
102-103  NDS         136,458,389.78      136,458,389.66              0.12
102-110  L+LA      3,228,250,209.66    3,228,250,206.69              2.97
102-113  TY           96,065,711.76       96,065,711.54              0.22
102-201  MAT          98,973,278.37      122,935,910.08    -23,962,631.71
102-254  VL                   -0.02                1.41             -1.43
