table_name                                                                                                                       column_name                                                                                                                      
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sysgroupleftmenu                                                                                                                 createby                                                                                                                         
sysgroupleftmenu                                                                                                                 createdate                                                                                                                       
sysgroupleftmenu                                                                                                                 itemid                                                                                                                           
sysgroupleftmenu                                                                                                                 modifyby                                                                                                                         
sysgroupleftmenu                                                                                                                 modifydate                                                                                                                       
sysgroupleftmenu                                                                                                                 s_add                                                                                                                            
sysgroupleftmenu                                                                                                                 s_alldata                                                                                                                        
sysgroupleftmenu                                                                                                                 s_cetak                                                                                                                          
sysgroupleftmenu                                                                                                                 s_delete                                                                                                                         
sysgroupleftmenu                                                                                                                 s_edit                                                                                                                           
sysgroupleftmenu                                                                                                                 s_harga                                                                                                                          
sysgroupleftmenu                                                                                                                 s_koreksi                                                                                                                        
sysgroupleftmenu                                                                                                                 s_view                                                                                                                           
sysgroupleftmenu                                                                                                                 usergroup                                                                                                                        
sysleftmenu                                                                                                                      createby                                                                                                                         
sysleftmenu                                                                                                                      createdate                                                                                                                       
sysleftmenu                                                                                                                      groupdesc                                                                                                                        
sysleftmenu                                                                                                                      groupid                                                                                                                          
sysleftmenu                                                                                                                      imageobject                                                                                                                      
sysleftmenu                                                                                                                      itemdesc                                                                                                                         
sysleftmenu                                                                                                                      itemid                                                                                                                           
sysleftmenu                                                                                                                      itemparentid                                                                                                                     
sysleftmenu                                                                                                                      modifyby                                                                                                                         
sysleftmenu                                                                                                                      modifydate                                                                                                                       
sysleftmenu                                                                                                                      windowobject                                                                                                                     

(25 rows)

Execution time: 0.702 seconds
