=== DIAG107: Persediaan Selisih Final Proof - 06/05/2026 17:34:16 ===

=== A: SINV Feb 2026 total for TR products (stok_id LIKE 'TR.%') ===
SINV Feb 2026 TR products: rows=98 qty=349.00 nilai=9072336890.75

=== B: GL saldo akhir Jan 2026 for account 102-001 ===
(= gl_balance Jan Dr - gl_balance Jan Cr + gl_journal Jan Dr - gl_journal Jan Cr)
GL saldo akhir Jan 102-001 = 9072870161.900000
  (awal=12999133239.620000 + dr=4935381911.470000 - cr=8861644989.190000)

=== C: SELISIH = GL saldo akhir Jan vs SINV Feb TR total ===
GL saldo akhir Jan 102-001 = 9072870161.900000
SINV Feb 2026 TR total    = 9072336890.75
SELISIH                   = 533271.150000

=== D: GL journal Jan 2026 for 102-001 by modul_id and show_hide ===
modul_id | show_hide | Dr | Cr | cnt
HP |  | 0.000000 | 4908299592.760000 | 47
AS |  | 4935381911.470000 | 3953345396.430000 | 85

=== E: tsales2 HPP vs SINV-based formula for TR products (show diff only) ===
stok_id | jual_qty | nilai_current | sinv_qty | sinv_rp | sinv_hpp | tsales2_hpp

=== F: SINV Jan 2026 for TR products (awal Jan) ===
stok_id | qty | nilai | hpp_avg
TR.039A | 13.00 | 2745688986.00 | 211206845.080000
TR.038A | 9.00 | 2224112211.64 | 247123579.070000
TR.040A | 9.00 | 1817238781.69 | 201915420.190000
TR.1002A | 51.00 | 1767122971.57 | 34649470.030000
TR.1003A | 44.00 | 1692435909.43 | 38464452.490000
TR.910A | 28.00 | 760625308.80 | 27165189.600000
TR.1006A | 18.00 | 712547937.65 | 39585996.540000
TR.1004A | 17.00 | 600763860.10 | 35339050.590000
TR.1007A | 5.00 | 252977065.11 | 50595413.020000
TR.1010A | 2.00 | 121944433.38 | 60972216.690000
TR.912A | 2.00 | 99984785.64 | 49992392.820000
TR.1009A | 1.00 | 54588920.35 | 54588920.350000
TR.911A | 2.00 | 53098095.19 | 26549047.600000
TR.038B | 1.00 | 38099711.59 | 38099711.590000
TR.904A | 1.00 | 28521500.00 | 28521500.000000
TR.401A | 2.00 | 11845404.00 | 5922702.000000
TR.400A | 1.00 | 5922702.00 | 5922702.000000
TR.301A | 1.00 | 5922702.00 | 5922702.000000
TR.903A | 1.00 | 4996953.00 | 4996953.000000
TR.902F | 1.00 | 695000.00 | 695000.000000
TR.907 | 0.00 | 0.00 | 0.000000
TR.600 | 0.00 | 0.00 | 0.000000
TR.600A | 0.00 | 0.00 | 0.000000
TR.600B | 0.00 | 0.00 | 0.000000
TR.600P | 0.00 | 0.00 | 0.000000
TR.901 | 0.00 | 0.00 | 0.000000
TR.901A | 0.00 | 0.00 | 0.000000
TR.911 | 1.00 | 0.00 | 0.000000
TR.901B | 0.00 | 0.00 | 0.000000
TR.910 | 25.00 | 0.00 | 0.000000
TR.901P | 0.00 | 0.00 | 0.000000
TR.902D | 0.00 | 0.00 | 0.000000
TR.902E | 0.00 | 0.00 | 0.000000
TR.909P | 0.00 | 0.00 | 0.000000
TR.909A | 0.00 | 0.00 | 0.000000
TR.903 | 0.00 | 0.00 | 0.000000
TR.903B | 0.00 | 0.00 | 0.000000
TR.909 | 0.00 | 0.00 | 0.000000
TR.903C | 0.00 | 0.00 | 0.000000
TR.908P | 0.00 | 0.00 | 0.000000
TR.903D | 0.00 | 0.00 | 0.000000
TR.908A | 0.00 | 0.00 | 0.000000
TR.401P | 0.00 | 0.00 | 0.000000
TR.904 | 1.00 | 0.00 | 0.000000
TR.908 | 0.00 | 0.00 | 0.000000
TR.904P | 0.00 | 0.00 | 0.000000
