=== DIAG109b: Find 533271 root cause - fast queries - 06/06/2026 22:35:34 ===

=== A: GL journal 102-001 Jan 2026 - show ALL unique vouchers by modul/tipe ===
modul | tipe | cnt | Dr | Cr

=== B: tstok1 tipe 88 for TR products Jan 2026 - detail ===
stok_id | tipe | tgl | bukti_id | qty | netto | kurs | netto_rp | netto_hpp
TR.038A | 88 | 01/05/2026 00:00:00 | 10226012200013 | 1.00 | 247123579.07 | 1.00 | 247123579.0700 | 247123579.07
TR.038A | 88 | 01/05/2026 00:00:00 | 10226012200006 | 1.00 | 247123579.07 | 1.00 | 247123579.0700 | 247123579.07
TR.038A | 88 | 01/07/2026 00:00:00 | 10226012200017 | 1.00 | 247123579.07 | 1.00 | 247123579.0700 | 247123579.07
TR.038A | 88 | 01/15/2026 00:00:00 | 10226012200060 | 1.00 | 247123579.07 | 1.00 | 247123579.0700 | 247123579.07
TR.038A | 88 | 01/29/2026 00:00:00 | 10226012200130 | 1.00 | 247123579.07 | 1.00 | 247123579.0700 | 247123579.07
TR.039A | 88 | 01/02/2026 00:00:00 | 10226012200016 | 1.00 | 211206845.08 | 1.00 | 211206845.0800 | 211206845.08
TR.039A | 88 | 01/13/2026 00:00:00 | 10226012200042 | 1.00 | 211206845.08 | 1.00 | 211206845.0800 | 211206845.08
TR.039A | 88 | 01/20/2026 00:00:00 | 10226012200080 | 1.00 | 211206845.08 | 1.00 | 211206845.0800 | 211206845.08
TR.039A | 88 | 01/26/2026 00:00:00 | 10226012200109 | 1.00 | 211206845.08 | 1.00 | 211206845.0800 | 211206845.08
TR.039A | 88 | 01/28/2026 00:00:00 | 10226012200124 | 1.00 | 211206845.08 | 1.00 | 211206845.0800 | 211206845.08
TR.040A | 88 | 01/12/2026 00:00:00 | 10226012200045 | 1.00 | 201915420.19 | 1.00 | 201915420.1900 | 201915420.19
TR.040A | 88 | 01/15/2026 00:00:00 | 10226012200070 | 1.00 | 201915420.19 | 1.00 | 201915420.1900 | 201915420.19
TR.040A | 88 | 01/20/2026 00:00:00 | 10226012200079 | 1.00 | 201915420.19 | 1.00 | 201915420.1900 | 201915420.19
TR.040A | 88 | 01/26/2026 00:00:00 | 10226012200108 | 1.00 | 201915420.19 | 1.00 | 201915420.1900 | 201915420.19
TR.040A | 88 | 01/28/2026 00:00:00 | 10226012200138 | 1.00 | 201915420.19 | 1.00 | 201915420.1900 | 201915420.19
TR.040A | 88 | 01/28/2026 00:00:00 | 10226012200131 | 1.00 | 201915420.19 | 1.00 | 201915420.1900 | 201915420.19
TR.040A | 88 | 01/30/2026 00:00:00 | 10226012200134 | 1.00 | 201915420.19 | 1.00 | 201915420.1900 | 201915420.19
TR.040A | 88 | 01/30/2026 00:00:00 | 10226012200133 | 1.00 | 201915420.19 | 1.00 | 201915420.1900 | 201915420.19
TR.1002A | 88 | 01/08/2026 00:00:00 | 10226012200021 | 1.00 | 34649470.03 | 1.00 | 34649470.0300 | 34649470.03
TR.1002A | 88 | 01/08/2026 00:00:00 | 10226012200020 | 1.00 | 34649470.03 | 1.00 | 34649470.0300 | 34649470.03
TR.1002A | 88 | 01/12/2026 00:00:00 | 10226012200036 | 1.00 | 34649470.03 | 1.00 | 34649470.0300 | 34649470.03
TR.1002A | 88 | 01/12/2026 00:00:00 | 10226012200034 | 1.00 | 34649470.03 | 1.00 | 34649470.0300 | 34649470.03
TR.1002A | 88 | 01/12/2026 00:00:00 | 10226012200035 | 1.00 | 34649470.03 | 1.00 | 34649470.0300 | 34649470.03
TR.1002A | 88 | 01/12/2026 00:00:00 | 10226012200033 | 1.00 | 34649470.03 | 1.00 | 34649470.0300 | 34649470.03
TR.1002A | 88 | 01/22/2026 00:00:00 | 10226012200082 | 1.00 | 34649470.03 | 1.00 | 34649470.0300 | 34649470.03
TR.1002A | 88 | 01/26/2026 00:00:00 | 10226012200100 | 1.00 | 34396961.94 | 1.00 | 34396961.9400 | 34396961.94
TR.1002A | 88 | 01/27/2026 00:00:00 | 10226012200105 | 1.00 | 34649470.03 | 1.00 | 34649470.0300 | 34649470.03
TR.1002A | 88 | 01/28/2026 00:00:00 | 10226012200119 | 1.00 | 34649470.03 | 1.00 | 34649470.0300 | 34649470.03
TR.1002A | 88 | 01/28/2026 00:00:00 | 10226012200125 | 1.00 | 34649470.03 | 1.00 | 34649470.0300 | 34649470.03
TR.1003A | 88 | 01/06/2026 00:00:00 | 10226012200018 | 1.00 | 38464452.49 | 1.00 | 38464452.4900 | 38464452.49
TR.1003A | 88 | 01/20/2026 00:00:00 | 10226012200084 | 1.00 | 38464452.49 | 1.00 | 38464452.4900 | 38464452.49
TR.1003A | 88 | 01/22/2026 00:00:00 | 10226012200095 | 1.00 | 38464452.49 | 1.00 | 38464452.4900 | 38464452.49
TR.1003A | 88 | 01/29/2026 00:00:00 | 10226012200123 | 1.00 | 38464452.49 | 1.00 | 38464452.4900 | 38464452.49
TR.1004A | 88 | 01/14/2026 00:00:00 | 10226012200049 | 1.00 | 35339050.59 | 1.00 | 35339050.5900 | 35339050.59
TR.1004A | 88 | 01/22/2026 00:00:00 | 10226012200096 | 1.00 | 35339050.59 | 1.00 | 35339050.5900 | 35339050.59
TR.1004A | 88 | 01/28/2026 00:00:00 | 10226012200135 | 1.00 | 35339050.59 | 1.00 | 35339050.5900 | 35339050.59
TR.1006A | 88 | 01/14/2026 00:00:00 | 10226012200052 | 1.00 | 39585996.54 | 1.00 | 39585996.5400 | 39585996.54
TR.1006A | 88 | 01/14/2026 00:00:00 | 10226012200059 | 1.00 | 39585996.54 | 1.00 | 39585996.5400 | 39585996.54
TR.1006A | 88 | 01/19/2026 00:00:00 | 10226012200069 | 1.00 | 39585996.54 | 1.00 | 39585996.5400 | 39585996.54
TR.1006A | 88 | 01/28/2026 00:00:00 | 10226012200137 | 1.00 | 39585996.54 | 1.00 | 39585996.5400 | 39585996.54
TR.1006A | 88 | 01/28/2026 00:00:00 | 10226012200136 | 1.00 | 40371775.34 | 1.00 | 40371775.3400 | 40371775.34
TR.910A | 88 | 01/12/2026 00:00:00 | 10226012200031 | 1.00 | 27165189.60 | 1.00 | 27165189.6000 | 27165189.60
TR.910A | 88 | 01/13/2026 00:00:00 | 10226012200050 | 1.00 | 27165189.60 | 1.00 | 27165189.6000 | 27165189.60
TR.910A | 88 | 01/15/2026 00:00:00 | 10226012200061 | 1.00 | 27165189.60 | 1.00 | 27165189.6000 | 27165189.60
TR.910A | 88 | 01/22/2026 00:00:00 | 10226012200081 | 1.00 | 27165189.60 | 1.00 | 27165189.6000 | 27165189.60
TR.910A | 88 | 01/23/2026 00:00:00 | 10226012200107 | 1.00 | 27165189.60 | 1.00 | 27165189.6000 | 27165189.60
TR.911A | 88 | 01/27/2026 00:00:00 | 10226012200118 | 1.00 | 26549047.73 | 1.00 | 26549047.7300 | 26549047.73

=== C: GL debet/kredit 102-001 by modul AS - detail view ===
voucher | tgl | debet | kredit | ket | modul
10203260100004 | 01/07/2026 00:00:00 | 247123579.070000 | 0.000000 | LEFT10=101260100003 PT. MANGGALA KIAT | AS
10203260100019 | 01/15/2026 00:00:00 | 247123579.070000 | 0.000000 | LEFT10=101260100004 PT. SENTRAS BOX I | AS
10203260100001 | 01/05/2026 00:00:00 | 247123579.070000 | 0.000000 | LEFT10=101251200064 PT. KRISTAL TRANS | AS
10203260100002 | 01/05/2026 00:00:00 | 247123579.070000 | 0.000000 | LEFT10=101251200060 PT. SENTRAS BOX I | AS
10203260100041 | 01/29/2026 00:00:00 | 247123579.070000 | 0.000000 | LEFT10=101260100034 U/ PT. KRISTAL TR | AS
10203260100035 | 01/26/2026 00:00:00 | 211206845.080000 | 0.000000 | LEFT10=101260100026 ANUGERAH MITRA LO | AS
10203260100039 | 01/28/2026 00:00:00 | 211206845.080000 | 0.000000 | LEFT10=101260100032 ANUGERAH MITRA LO | AS
10203260100024 | 01/20/2026 00:00:00 | 211206845.080000 | 0.000000 | LEFT10=101260100017 PT. MODERN PRIMA  | AS
10203260100003 | 01/02/2026 00:00:00 | 211206845.080000 | 0.000000 | LEFT10=101251200065 PT. MODERN PRIMA  | AS
10203260100013 | 01/13/2026 00:00:00 | 211206845.080000 | 0.000000 | LEFT10=101260100007 PT. MODERN PRIMA  | AS
10203260100044 | 01/30/2026 00:00:00 | 201915420.190000 | 0.000000 | LEFT10=101260100035 U/ PT. TIRTAMAS C | AS
10203260100014 | 01/12/2026 00:00:00 | 201915420.190000 | 0.000000 | LEFT10=101260100005 PT. TIRTAMAS COLD | AS
10203260100049 | 01/28/2026 00:00:00 | 201915420.190000 | 0.000000 | LEFT10=101251200023 AKPP  QQ BERNADI  | AS
10203260100042 | 01/28/2026 00:00:00 | 201915420.190000 | 0.000000 | LEFT10=101260100027 PT. TIRTAMAS COLD | AS
10203260100022 | 01/15/2026 00:00:00 | 201915420.190000 | 0.000000 | LEFT10=101260100012 CV. KREASI SEJUK  | AS
10203260100023 | 01/20/2026 00:00:00 | 201915420.190000 | 0.000000 | LEFT10=101260100014 PT. TIRTAMAS COLD | AS
10203260100045 | 01/30/2026 00:00:00 | 201915420.190000 | 0.000000 | LEFT10=101260100036 PT. TIRTAMAS COLD | AS
10203260100034 | 01/26/2026 00:00:00 | 201915420.190000 | 0.000000 | LEFT10=101260100022 PT. TIRTAMAS COLD | AS
10203260100047 | 01/28/2026 00:00:00 | 40371775.340000 | 0.000000 | LEFT10=101241200068 KRS. ADHIKHARISMA | AS
10203260100048 | 01/28/2026 00:00:00 | 39585996.540000 | 0.000000 | LEFT10=101260100028 KRS. ADHIKHARISMA | AS
10203260100018 | 01/14/2026 00:00:00 | 39585996.540000 | 0.000000 | LEFT10=101260100002 CV. MITRA ABADI S | AS
10203260100021 | 01/19/2026 00:00:00 | 39585996.540000 | 0.000000 | LEFT10=101260100015 KREASI BERKAH  LO | AS
10203260100017 | 01/14/2026 00:00:00 | 39585996.540000 | 0.000000 | LEFT10=101260100016 CV. SS BERSAUDARA | AS
10203260100038 | 01/29/2026 00:00:00 | 38464452.490000 | 0.000000 | LEFT10=101260100030 ANTIKA RAYA  | AS
10203260100005 | 01/06/2026 00:00:00 | 38464452.490000 | 0.000000 | LEFT10=101251200066 ANUGERAH MITRA LO | AS
10203260100027 | 01/20/2026 00:00:00 | 38464452.490000 | 0.000000 | LEFT10=101251200027 KRS.    S  K  A | AS
10203260100029 | 01/22/2026 00:00:00 | 38464452.490000 | 0.000000 | LEFT10=101260100020 TRI SAMUDRA | AS
10203260100015 | 01/14/2026 00:00:00 | 35339050.590000 | 0.000000 | LEFT10=101260100006 SURYA INDAH PRATA | AS
10203260100030 | 01/22/2026 00:00:00 | 35339050.590000 | 0.000000 | LEFT10=101260100019 M A S - MITRA KEN | AS
10203260100046 | 01/28/2026 00:00:00 | 35339050.590000 | 0.000000 | LEFT10=101260100029 RAJA BENUR INDONE | AS
10203260100026 | 01/22/2026 00:00:00 | 34649470.030000 | 0.000000 | LEFT10=101251200043 KSS-PINKIES GELAT | AS
10203260100009 | 01/12/2026 00:00:00 | 34649470.030000 | 0.000000 | LEFT10=101260100008 UNIT ONLY | AS
10203260100010 | 01/12/2026 00:00:00 | 34649470.030000 | 0.000000 | LEFT10=101260100009 UNIT ONLY | AS
10203260100040 | 01/28/2026 00:00:00 | 34649470.030000 | 0.000000 | LEFT10=101260100031 PT. SENTRAS BOX I | AS
10203260100011 | 01/12/2026 00:00:00 | 34649470.030000 | 0.000000 | LEFT10=101260100010 UNIT ONLY | AS
10203260100012 | 01/12/2026 00:00:00 | 34649470.030000 | 0.000000 | LEFT10=101260100011 UNIT ONLY | AS
10203260100007 | 01/08/2026 00:00:00 | 34649470.030000 | 0.000000 | LEFT10=101260100001 CV. KREASI SEJUK  | AS
10203260100037 | 01/28/2026 00:00:00 | 34649470.030000 | 0.000000 | LEFT10=101260100023 PT. SENTRAS BOX I | AS
10203260100006 | 01/08/2026 00:00:00 | 34649470.030000 | 0.000000 | LEFT10=101251200068 KREASI SEJUK SARA | AS
10203260100032 | 01/27/2026 00:00:00 | 34649470.030000 | 0.000000 | LEFT10=101251200016 EAT MARE BUNZ | AS
10203260100031 | 01/26/2026 00:00:00 | 34396961.940000 | 0.000000 | LEFT10=101251000030 KREASI SEJUK SARA | AS
10203260100033 | 01/23/2026 00:00:00 | 27165189.600000 | 0.000000 | LEFT10=101260100021 DELIMA MANDIRI | AS
10203260100008 | 01/12/2026 00:00:00 | 27165189.600000 | 0.000000 | LEFT10=101251200067 CV. DELIMA MANDIR | AS
10203260100025 | 01/22/2026 00:00:00 | 27165189.600000 | 0.000000 | LEFT10=101251200017 PINKIES GELATO | AS
10203260100016 | 01/13/2026 00:00:00 | 27165189.600000 | 0.000000 | LEFT10=101251200008 PT. GRAHAINMA SIR | AS
10203260100020 | 01/15/2026 00:00:00 | 27165189.600000 | 0.000000 | LEFT10=101251200040 PT. MABA TRANS NU | AS
101KP260100016 | 01/01/2026 00:00:00 | 26549048.000000 | 0.000000 | LEFT10=REVISI PERPINDAHAN STOCK DARI  | AS
10203260100036 | 01/27/2026 00:00:00 | 26549047.730000 | 0.000000 | LEFT10=101260100018 KREASI SEJUK SARA | AS
101260100034 | 01/28/2026 00:00:00 | 0.000000 | 247123579.070000 | LEFT10=CIM1083289 U/ PT. KRISTAL TRAN | AS
101260100003 | 01/05/2026 00:00:00 | 0.000000 | 247123579.070000 | LEFT10=CIM1083285 PT. MANGGALA KIAT A | AS
101260100004 | 01/05/2026 00:00:00 | 0.000000 | 247123579.070000 | LEFT10=CIM1083288 PT. SENTRAS BOX IND | AS
101260100026 | 01/26/2026 00:00:00 | 0.000000 | 211206845.080000 | LEFT10=CIM1088558 ANUGERAH MITRA LOGI | AS
101260100032 | 01/27/2026 00:00:00 | 0.000000 | 211206845.080000 | LEFT10=CIM1088559 ANUGERAH MITRA LOGI | AS
101260100017 | 01/19/2026 00:00:00 | 0.000000 | 211206845.080000 | LEFT10=CIM1088563 PT. MODERN PRIMA TR | AS
101260100007 | 01/12/2026 00:00:00 | 0.000000 | 211206845.080000 | LEFT10=CIM1088562 PT. MODERN PRIMA TR | AS
101260100036 | 01/29/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1083200 PT. TIRTAMAS COLD T | AS
101260100014 | 01/14/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1083198 PT. TIRTAMAS COLD T | AS
101260100022 | 01/21/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1083201 PT. TIRTAMAS COLDTR | AS
101260100012 | 01/13/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1083199 CV. KREASI SEJUK SA | AS
101260100005 | 01/08/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1083197 PT. TIRTAMAS COLDTR | AS
101260100027 | 01/26/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1088322 PT. TIRTAMAS COLD T | AS
101260100035 | 01/28/2026 00:00:00 | 0.000000 | 201915420.190000 | LEFT10=CIM1088321 U/ PT. TIRTAMAS COL | AS
101KM260100133 | 01/01/2026 00:00:00 | 0.000000 | 135825948.000000 | LEFT10=REVISI PERPINDAHAN STOCK DARI  | AS
101260100013 | 01/14/2026 00:00:00 | 0.000000 | 50595413.020000 | LEFT10=CIM1086242 ANTIKA RAYA - PURAN | AS
101260100033 | 01/28/2026 00:00:00 | 0.000000 | 50595413.020000 | LEFT10=CIM1086245 U/ ANUGERAH MANDIRI | AS
101260100028 | 01/26/2026 00:00:00 | 0.000000 | 39585996.540000 | LEFT10=CIM1083705 KRS. ADHIKHARISMA P | AS
101260100002 | 01/05/2026 00:00:00 | 0.000000 | 39585996.540000 | LEFT10=CIM1083259 CV. MITRA ABADI SEJ | AS
101260100025 | 01/26/2026 00:00:00 | 0.000000 | 39585996.540000 | LEFT10=CIM1083268 PT. ULTIMA JAYA     | AS
101260100015 | 01/14/2026 00:00:00 | 0.000000 | 39585996.540000 | LEFT10=CIM1083258 KREASI BERKAH  LOGI | AS
101260100016 | 01/14/2026 00:00:00 | 0.000000 | 39585996.540000 | LEFT10=CIM1083269 CV. SS BERSAUDARA | AS
