=== GL 226-001 non-BTB entries (TGL < 2026-01-01) ===
VOUCHER|TGL|KET|K|D|NET
13011002P012P|01/07/2013 00:00:00|KS1211/004|0.000000|1000000.000000|-1000000.000000
13011002P010P|01/07/2013 00:00:00|B 2937|0.000000|900000.000000|-900000.000000
13011002P043P|01/25/2013 00:00:00|B 2950|0.000000|75000.000000|-75000.000000
13011002P045P|01/25/2013 00:00:00|KS1301/010|0.000000|720000.000000|-720000.000000
13011002P049P|01/28/2013 00:00:00|017793|0.000000|80000.000000|-80000.000000
13031002P019P|03/13/2013 00:00:00|1017/III/13|0.000000|1750000.000000|-1750000.000000
13031002P016P|03/13/2013 00:00:00|B 3132|0.000000|450000.000000|-450000.000000
1011303DP009|03/27/2013 00:00:00|141704|0.000000|11967750.000000|-11967750.000000
1011304DP005|04/09/2013 00:00:00|C130304-05|0.000000|26977500.000000|-26977500.000000
13041002P036P|04/19/2013 00:00:00|000267|0.000000|600000.000000|-600000.000000
13041002P037P|04/19/2013 00:00:00|018375|0.000000|25000.000000|-25000.000000
1011304DP006|04/30/2013 00:00:00|142543|0.000000|44010450.000000|-44010450.000000
13051002P020P|05/14/2013 00:00:00|KT1304/023|0.000000|165000.000000|-165000.000000
13051002P023P|05/14/2013 00:00:00|018427|0.000000|25000.000000|-25000.000000
13051002P028P|05/15/2013 00:00:00|B 3546|0.000000|510000.000000|-510000.000000
13051002P036P|05/16/2013 00:00:00|KS1305/013|0.000000|600000.000000|-600000.000000
13051002P060P|05/30/2013 00:00:00|0000563|0.000000|1450000.000000|-1450000.000000
13061002P032P|06/21/2013 00:00:00|0000695|0.000000|1450000.000000|-1450000.000000
13071002P014P|07/08/2013 00:00:00|00070|0.000000|600000.000000|-600000.000000
13071002P066P|07/31/2013 00:00:00|00154|0.000000|600000.000000|-600000.000000
1011308DP009|08/01/2013 00:00:00|C130515-06|0.000000|19200000.000000|-19200000.000000
13081002P016P|08/22/2013 00:00:00|000293|0.000000|240000.000000|-240000.000000
