=== GL 226-001: Entry BUKAN BTB invoice/pembayaran (TGL < 2026-01-01) ===
VOUCHER|TGL|KET|ORDER_REFF|K|D|NET
101PK251200004|12/31/2025 00:00:00|(AP-CN/DN)  DN2512004|101PK251200004|0.000000|740000.000000|-740000.000000
VP1USD202501002|12/31/2025 00:00:00|[5001779] Adj. Kurs dari : 16,671.00 Ke : 16,782.00||24858316.800000|0.000000|24858316.800000
101PK251200002|12/31/2025 00:00:00|(AP-CN/DN)  DN2512002|101PK251200002|0.000000|2642102.640000|-2642102.640000
101PK251200008|12/31/2025 00:00:00|(AP-CN/DN)  DN2512008|101PK251200008|0.000000|7925000.000000|-7925000.000000
VP1USD202501004|12/31/2025 00:00:00|[1299428763] Adj. Kurs dari : 16,675.00 Ke : 16,782.00||3622524.590000|0.000000|3622524.590000
VP1CNY202501002|12/31/2025 00:00:00|[HK2025H0459] Adj. Kurs dari : 2,353.45 Ke : 2,400.67||98819230.020000|0.000000|98819230.020000
VP1USD202501003|12/31/2025 00:00:00|[5001808,09] Adj. Kurs dari : 16,704.00 Ke : 16,782.00||15526836.000000|0.000000|15526836.000000
VP1USD202501005|12/31/2025 00:00:00|[2025H0143] Adj. Kurs dari : 16,406.00 Ke : 16,782.00||10047096.000000|0.000000|10047096.000000
VP1CNY202501001|12/31/2025 00:00:00|[2025H0524] Adj. Kurs dari : 2,373.54 Ke : 2,400.67||9088132.200000|0.000000|9088132.200000
VP1USD202501001|12/31/2025 00:00:00|[5001446,7,8] Adj. Kurs dari : 16,400.00 Ke : 16,782.00||111926.000000|0.000000|111926.000000
101PK251200001|12/31/2025 00:00:00|(AP-CN/DN)  DN2512001|101PK251200001|0.000000|7971012.000000|-7971012.000000
101PK251200007|12/31/2025 00:00:00|(AP-CN/DN)  DN2512007|101PK251200007|0.000000|10143750.000000|-10143750.000000
101PK251200003|12/31/2025 00:00:00|(AP-CN/DN)  DN2512003|101PK251200003|0.000000|51779330.740000|-51779330.740000
101PK250700001|07/14/2025 00:00:00|(AP-CN/DN)  DN20250701|101PK250700001|0.000000|16125.000000|-16125.000000
VP1USD202401001|12/31/2024 00:00:00|[30010814,816] Adj. Kurs dari : 15,416.00 Ke : 16,162.00||2390012.420000|0.000000|2390012.420000
VP1USD202401003|12/31/2024 00:00:00|[5001301,302] Adj. Kurs dari : 15,500.00 Ke : 16,162.00||142527276.000000|0.000000|142527276.000000
VP1CNY202401001|12/31/2024 00:00:00|[Y17122701] Adj. Kurs dari : 2,257.12 Ke : 2,214.17||0.000000|51250.950000|-51250.950000
VP1CNY202401002|12/31/2024 00:00:00|[06VI112018] Adj. Kurs dari : 2,257.12 Ke : 2,214.17||0.000000|154620.000000|-154620.000000
VP1USD202401002|12/31/2024 00:00:00|[5001283,84] Adj. Kurs dari : 15,460.00 Ke : 16,162.00||172860480.000000|0.000000|172860480.000000
200410124080187|08/26/2024 00:00:00|TK.A402-270324, TK.B401-300424, TK.C402-270324 INV Hutang Dagang |10124070500003|0.000000|59926824.000000|-59926824.000000
VP1202301010009|12/31/2023 00:00:00|[5965036-41] Adj. Kurs dari : 15,512.00 Ke : 15,416.00||0.000000|1824125.760000|-1824125.760000
VP1202301010008|12/31/2023 00:00:00|[5000721] Adj. Kurs dari : 15,498.00 Ke : 15,416.00||0.000000|12792000.000000|-12792000.000000
VP1202301010007|12/31/2023 00:00:00|[30010814,816] Adj. Kurs dari : 15,731.00 Ke : 15,416.00||0.000000|1009187.550000|-1009187.550000
VP1202201010003|12/31/2022 00:00:00|[5000147] Adj. Kurs dari : 15,688.00 Ke : 15,731.00||8183760.000000|0.000000|8183760.000000
VP1202201010006|12/31/2022 00:00:00|[5799683] Adj. Kurs dari : 15,563.00 Ke : 15,731.00||242444.160000|0.000000|242444.160000
VP1202201010004|12/31/2022 00:00:00|[5000148] Adj. Kurs dari : 15,651.00 Ke : 15,731.00||15225600.000000|0.000000|15225600.000000
VP2202201010002|12/31/2022 00:00:00|[06VI112018] Adj. Kurs dari : 2,238.00 Ke : 2,257.12||68832.000000|0.000000|68832.000000
VP2202201010001|12/31/2022 00:00:00|[Y17122701] Adj. Kurs dari : 2,238.00 Ke : 2,257.12||22815.320000|0.000000|22815.320000
VP1202201010002|12/31/2022 00:00:00|[30010814,816] Adj. Kurs dari : 14,269.00 Ke : 15,731.00||4683911.740000|0.000000|4683911.740000
VP1202201010005|12/31/2022 00:00:00|[5000151] Adj. Kurs dari : 15,651.00 Ke : 15,731.00||15225600.000000|0.000000|15225600.000000
VP202101010017|12/31/2021 00:00:00|[30010814,816] Adj. Kurs dari : 14,105.00 Ke : 14,269.00||525418.280000|0.000000|525418.280000
VP202101010034|12/31/2021 00:00:00|[JHN21110162] Adj. Kurs dari : 14,360.00 Ke : 14,269.00||0.000000|3882699.730000|-3882699.730000
VP202101010018|12/31/2021 00:00:00|[5619100,8,32,33] Adj. Kurs dari : 14,300.00 Ke : 14,269.00||0.000000|585416.400000|-585416.400000
VP202101010016|12/31/2021 00:00:00|[ID.1909001] Adj. Kurs dari : 14,105.00 Ke : 14,269.00||1916832.000000|0.000000|1916832.000000
VP202101010012|12/31/2021 00:00:00|[SOL-0216002] Adj. Kurs dari : 14,105.00 Ke : 14,269.00||12054000.000000|0.000000|12054000.000000
VP202101010011|12/31/2021 00:00:00|[SOL-0216001] Adj. Kurs dari : 14,105.00 Ke : 14,269.00||6822400.000000|0.000000|6822400.000000
VP202101010015|12/31/2021 00:00:00|[ID1906001] Adj. Kurs dari : 14,105.00 Ke : 14,269.00||1548160.000000|0.000000|1548160.000000
1012112MEMO0013|12/31/2021 00:00:00|Hutang Dagang  AJP = Opname||0.000000|1.800000|-1.800000
VP202101010001|12/31/2021 00:00:00|[Y17122701] Adj. Kurs dari : 2,161.00 Ke : 2,238.00||91881.790000|0.000000|91881.790000
VP202101010002|12/31/2021 00:00:00|[06VI112018] Adj. Kurs dari : 2,161.00 Ke : 2,238.00||277200.000000|0.000000|277200.000000
VP202101010033|12/31/2021 00:00:00|[30011625 - 26] Adj. Kurs dari : 14,272.00 Ke : 14,269.00||0.000000|169260.000000|-169260.000000
VP202001010023|12/31/2020 00:00:00|[5505323,5505324] Adj. Kurs dari : 14.128,00 Ke : 14.105,00||0.000000|170258.880000|-170258.880000
VP202001010018|12/31/2020 00:00:00|[ID.1909001] Adj. Kurs dari : 13.901,00 Ke : 14.105,00||2384352.000000|0.000000|2384352.000000
VP202001010026|12/31/2020 00:00:00|[5513171] Adj. Kurs dari : 14.160,00 Ke : 14.105,00||0.000000|432638.250000|-432638.250000
VP202001010014|12/31/2020 00:00:00|[SOL-0216002] Adj. Kurs dari : 13.901,00 Ke : 14.105,00||14994000.000000|0.000000|14994000.000000
VP202001010017|12/31/2020 00:00:00|[ID1906001] Adj. Kurs dari : 13.901,00 Ke : 14.105,00||1925760.000000|0.000000|1925760.000000
VP202001010001|12/31/2020 00:00:00|[Y17122701] Adj. Kurs dari : 1,991.00 Ke : 2,161.00||202855.900000|0.000000|202855.900000
VP202001010020|12/31/2020 00:00:00|[30010814,816] Adj. Kurs dari : 14.704,00 Ke : 14.105,00||0.000000|1919058.230000|-1919058.230000
VP202001010022|12/31/2020 00:00:00|[10004154] Adj. Kurs dari : 14.128,00 Ke : 14.105,00||0.000000|51899.960000|-51899.960000
VP202001010013|12/31/2020 00:00:00|[SOL-0216001] Adj. Kurs dari : 13.901,00 Ke : 14.105,00||8486400.000000|0.000000|8486400.000000
VP202001010024|12/31/2020 00:00:00|[KXH20201102] Adj. Kurs dari : 14.139,00 Ke : 14.105,00||0.000000|64702.000000|-64702.000000
VP202001010002|12/31/2020 00:00:00|[06VI112018] Adj. Kurs dari : 1,991.00 Ke : 2,161.00||612000.000000|0.000000|612000.000000
VP202001010019|12/31/2020 00:00:00|[KXH20201026] Adj. Kurs dari : 14.420,00 Ke : 14.105,00||0.000000|815850.000000|-815850.000000
VP202001010025|12/31/2020 00:00:00|[30010906] Adj. Kurs dari : 14.160,00 Ke : 14.105,00||0.000000|5049000.000000|-5049000.000000
VP201901010018|12/31/2019 00:00:00|[ID1906001] Adj. Kurs dari : 14,141.00 Ke : 13,901.00||0.000000|2265600.000000|-2265600.000000
VP201901010021|12/31/2019 00:00:00|[5419784] Adj. Kurs dari : 14,086.00 Ke : 13,901.00||0.000000|1734012.400000|-1734012.400000
VP201901010035|12/31/2019 00:00:00|[5421169,5421179] Adj. Kurs dari : 14,094.00 Ke : 13,901.00||0.000000|1320368.970000|-1320368.970000
VP201901010001|12/31/2019 00:00:00|[Y17122701] Adj. Kurs dari : 2.073,00 Ke : 1.991,00||0.000000|97848.140000|-97848.140000
