BUKTI_ID|VENDOR_ID|CURR_ID|SALDO_KURS|RATE|NEW_RATE|SALDO|NEW_SALDO|S_KxR|S_KxNR|GL_NET
101BTB150700068|4SL.M020|IDR|29700000.000000|1.000000|1.000000|29700000.000000|29700000.000000|29700000.000000|29700000.000000|29700000.000000
101BTB160800046|000.T003|IDR|5000000.000000|1.000000|1.000000|5000000.000000|5000000.000000|5000000.000000|5000000.000000|5000000.000000
101BTB230900023|4SL.M020|IDR|0.500000|1.000000|1.000000|0.500000|0.500000|0.500000|0.500000|85081000.500000
101BTB241100030|4SL.A020|IDR|6.900000|1.000000|1.000000|6.900000|6.900000|6.900000|6.900000|5754006.900000
101BTB250200019|4SL.M032|IDR|0.320000|1.000000|1.000000|0.320000|0.320000|0.320000|0.320000|9000000.324000
101BTB250300036|4SL.D014|USD|26721.000000|16406.000000|16782.000000|446908992.210000|448431822.000000|438384726.000000|448431822.000000|876769452.000000
101BTB250300037|4SL.0301|USD|293.000000|16400.000000|16782.000000|4900427.930000|4917126.000000|4805200.000000|4917126.000000|1673128000.000000
101BTB250800001|4SL.G018|IDR|0.260000|1.000000|1.000000|0.260000|0.260000|0.260000|0.260000|17500000.260000
101BTB251000038|4SL.P011|IDR|0.260000|1.000000|1.000000|0.260000|0.260000|0.260000|0.260000|17500000.260000
101BTB251000043|4SL.M032|IDR|48.890000|1.000000|1.000000|48.890000|48.890000|48.890000|48.890000|11100000.888000
101BTB251100002|4SL.A039|IDR|1398500.000000|1.000000|1.000000|1398500.000000|1398500.000000|1398500.000000|1398500.000000|4195500.000000
101BTB251100039|4SL.A020|IDR|6.600000|1.000000|1.000000|6.600000|6.600000|6.600000|6.600000|1725006.600000
101BTB251100051|4SL.D014|CNY|2092741.000000|2353.450000|2400.670000|5004664537.040000|5023980536.470000|4925161306.450000|5023980536.470000|4925161306.450000
101BTB251100056|4SL.S065|IDR|42957000.000000|1.000000|1.000000|42957000.000000|42957000.000000|42957000.000000|42957000.000000|42957000.000000
101BTB251200006|4SL.T025|IDR|2880000.000000|1.000000|1.000000|2880000.000000|2880000.000000|2880000.000000|2880000.000000|2880000.000000
101BTB251200007|4SL.A031|IDR|9546000.000000|1.000000|1.000000|9546000.000000|9546000.000000|9546000.000000|9546000.000000|9546000.000000
101BTB251200008|4SL.A031|IDR|9102000.000000|1.000000|1.000000|9102000.000000|9102000.000000|9102000.000000|9102000.000000|9102000.000000
101BTB251200016|4SL.M008|IDR|1792500.000000|1.000000|1.000000|1792500.000000|1792500.000000|1792500.000000|1792500.000000|1792500.000000
101BTB251200017|4SL.A039|IDR|1898000.000000|1.000000|1.000000|1898000.000000|1898000.000000|1898000.000000|1898000.000000|1898000.000000
101BTB251200018|4SL.A039|IDR|3560000.000000|1.000000|1.000000|3560000.000000|3560000.000000|3560000.000000|3560000.000000|3560000.000000
101BTB251200019|4SL.M008|IDR|4139500.000000|1.000000|1.000000|4139500.000000|4139500.000000|4139500.000000|4139500.000000|4139500.000000
101BTB251200023|4SL.M008|IDR|16290000.000000|1.000000|1.000000|16290000.000000|16290000.000000|16290000.000000|16290000.000000|16290000.000000
101BTB251200024|4SL.T017|IDR|5660000.000000|1.000000|1.000000|5660000.000000|5660000.000000|5660000.000000|5660000.000000|5660000.000000
101BTB251200025|4SL.A039|IDR|210000.000000|1.000000|1.000000|210000.000000|210000.000000|210000.000000|210000.000000|210000.000000
101BTB251200026|4SL.A039|IDR|857500.000000|1.000000|1.000000|857500.000000|857500.000000|857500.000000|857500.000000|857500.000000
101BTB251200028|4SL.T017|IDR|5200000.000000|1.000000|1.000000|5200000.000000|5200000.000000|5200000.000000|5200000.000000|5200000.000000
101BTB251200029|4SL.M008|IDR|5950000.000000|1.000000|1.000000|5950000.000000|5950000.000000|5950000.000000|5950000.000000|5950000.000000
101BTB251200030|4SL.0309|USD|33855.370000|16675.000000|16782.000000|566231401.803700|568160819.340000|564538294.750000|568160819.340000|564538294.750000
101BTB251200031|4SL.0301|USD|199062.000000|16704.000000|16782.000000|3329313940.620000|3340658484.000000|3325131648.000000|3340658484.000000|3694590720.000000
101BTB251200032|4SL.0301|USD|223948.800000|16671.000000|16782.000000|3745545919.488000|3758308761.600000|3733450444.800000|3758308761.600000|4148278272.000000
101BTB251200033|4SL.P011|IDR|26550000.090000|1.000000|1.000000|26550000.090000|26550000.090000|26550000.090000|26550000.090000|26550000.090000
101BTB251200035|4SL.D014|CNY|334984.600000|2373.540000|2400.670000|801095571.824000|804187479.682000|795099347.484000|804187479.682000|795099347.484000
101BTB251200036|4SL.B038|IDR|2695500.000000|1.000000|1.000000|2695500.000000|2695500.000000|2695500.000000|2695500.000000|2695500.000000
101BTB251200037|4SL.S065|IDR|53280000.000000|1.000000|1.000000|53280000.000000|53280000.000000|53280000.000000|53280000.000000|53280000.000000
101BTB251200038|4SL.S065|IDR|53280000.000000|1.000000|1.000000|53280000.000000|53280000.000000|53280000.000000|53280000.000000|53280000.000000
101BTB251200039|4SL.M008|IDR|5625000.000000|1.000000|1.000000|5625000.000000|5625000.000000|5625000.000000|5625000.000000|5625000.000000
101BTB251200040|4SL.N012|IDR|14500000.000000|1.000000|1.000000|14500000.000000|14500000.000000|14500000.000000|14500000.000000|14500000.000000
101BTB261200002|4SL.M032|IDR|11100000.890000|1.000000|1.000000|11100000.890000|11100000.890000|11100000.890000|11100000.890000|11100000.888000
