=== VP 226-001 K>0 in 2025 ===
tgl|voucher|K|ket
12/31/2025 00:00:00|VP1CNY202501001|9088132.200000|[2025H0524] Adj. Kurs dari : 2,373.54 Ke : 2,400.67
12/31/2025 00:00:00|VP1CNY202501002|98819230.020000|[HK2025H0459] Adj. Kurs dari : 2,353.45 Ke : 2,400.67
12/31/2025 00:00:00|VP1USD202501001|111926.000000|[5001446,7,8] Adj. Kurs dari : 16,400.00 Ke : 16,782.00
12/31/2025 00:00:00|VP1USD202501002|24858316.800000|[5001779] Adj. Kurs dari : 16,671.00 Ke : 16,782.00
12/31/2025 00:00:00|VP1USD202501003|15526836.000000|[5001808,09] Adj. Kurs dari : 16,704.00 Ke : 16,782.00
12/31/2025 00:00:00|VP1USD202501004|3622524.590000|[1299428763] Adj. Kurs dari : 16,675.00 Ke : 16,782.00
12/31/2025 00:00:00|VP1USD202501005|10047096.000000|[2025H0143] Adj. Kurs dari : 16,406.00 Ke : 16,782.00
=== SAF by CURR Jan26 ===
CURR_ID|C|SK|S_KxR|S_S|S_NS|S_KxNR
CNY|4|3338014.270000|7880867223.725800|7982660845.848800|8013470717.560900|8013470717.560900
IDR|336|25554363727.400000|25554363727.400000|25554363727.400000|25554363727.400000|25554363727.400000
USD|12|632101.560000|10535496046.730000|10571904912.015600|10607928379.920000|10607928379.920000
=== SAF FX vs GL no-VP ===
BUKTI_ID|CURR_ID|SAF_SALDO|SAF_NS|GL_NET_NO_VP|GL_PO_K|GL_D
10102251100024|USD|384290554.770000|385600014.000000|||
10103201000011|USD|167691473.013900|168262876.980000|||
10103251100107|USD|384290554.770000|385600014.000000|||
10103251200046|USD|386147030.880000|387462816.000000|||
10103251200074|USD|386147030.880000|387462816.000000|||
10103251200075|USD|386147030.880000|387462816.000000|||
10103251200081|USD|384290554.770000|385600014.000000|||
10106251200004|CNY|1254571688.306400|1259413832.237700|||
10106251200005|CNY|922329048.678400|925888869.171200|||
101BTB250300036|USD|446908992.210000|448431822.000000|876769452.000000|876769452.000000|0.000000
101BTB250300037|USD|4900427.930000|4917126.000000|1673128000.000000|1673128000.000000|0.000000
101BTB251100051|CNY|5004664537.040000|5023980536.470000|4925161306.450000|4925161306.450000|0.000000
101BTB251200030|USD|566231401.803700|568160819.340000|564538294.750000|564538294.750000|0.000000
101BTB251200031|USD|3329313940.620000|3340658484.000000|3694590720.000000|3694590720.000000|0.000000
101BTB251200032|USD|3745545919.488000|3758308761.600000|4148278272.000000|4148278272.000000|0.000000
101BTB251200035|CNY|801095571.824000|804187479.682000|795099347.484000|795099347.484000|0.000000
