R6|C2=|C3=|C4=|C5=|C7=|C9=|C21=Valuta|C22=IDR|C23=Kurs Lama|C24=Kurs Baru|C25=Saldo IDR|C26=Selisih
R52|C2=|C3=03.2511065|C4=|C5=21-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=64.602.000,00|C23=1,00|C24=1,00|C25=64.602.000,00|C26=0,00
R53|C2=|C3=03.2512047|C4=|C5=15-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=64.602.000,00|C23=1,00|C24=1,00|C25=64.602.000,00|C26=0,00
R54|C2=|C3=03.2512049|C4=|C5=16-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=51.060.000,00|C23=1,00|C24=1,00|C25=51.060.000,00|C26=0,00
R342|C2=|C3=02.1606046|C4=|C5=29-06-2016|C7=IDR|C9=1,00|C21=0,00|C22=17.622.000,00|C23=1,00|C24=1,00|C25=17.622.000,00|C26=0,00
R494|C2=|C3=01.2511060|C4=|C5=28-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=288.600,00|C23=1,00|C24=1,00|C25=288.600,00|C26=0,00
R495|C2=|C3=01.2512019|C4=|C5=12-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=432.900,00|C23=1,00|C24=1,00|C25=432.900,00|C26=0,00
R642|C2=|C3=03.2503035|C4=|C5=12-03-2025|C7=IDR|C9=1,00|C21=0,00|C22=560.000,00|C23=1,00|C24=1,00|C25=560.000,00|C26=0,00
R657|C2=|C3=03.2511018|C4=|C5=10-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=136.080.000,00|C23=1,00|C24=1,00|C25=136.080.000,00|C26=0,00
R1225|C2=|C3=02.2512013|C4=|C5=09-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.205.792,00|C23=1,00|C24=1,00|C25=2.205.792,00|C26=0,00
R1236|C2=|C3=03.2512009|C4=|C5=04-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=325.000.000,00|C23=1,00|C24=1,00|C25=325.000.000,00|C26=0,00
R1256|C2=|C3=03.2512057|C4=|C5=17-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=94.350.000,00|C23=1,00|C24=1,00|C25=94.350.000,00|C26=0,00
R1352|C2=|C3=03.2412010|C4=|C5=06-12-2024|C7=IDR|C9=1,00|C21=0,00|C22=62.715.000,00|C23=1,00|C24=1,00|C25=62.715.000,00|C26=0,00
R1500|C2=|C3=03.2511067|C4=|C5=22-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=366.677.400,00|C23=1,00|C24=1,00|C25=366.677.400,00|C26=0,00
R1501|C2=|C3=03.2511068|C4=|C5=22-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=366.677.400,00|C23=1,00|C24=1,00|C25=366.677.400,00|C26=0,00
R1502|C2=|C3=03.2511054|C4=|C5=18-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=366.677.400,00|C23=1,00|C24=1,00|C25=366.677.400,00|C26=0,00
R1503|C2=|C3=03.2511085|C4=|C5=26-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=366.677.400,00|C23=1,00|C24=1,00|C25=366.677.400,00|C26=0,00
R1504|C2=|C3=03.2512012|C4=|C5=05-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=366.677.400,00|C23=1,00|C24=1,00|C25=366.677.400,00|C26=0,00
R1505|C2=|C3=03.2512024|C4=|C5=10-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=366.677.400,00|C23=1,00|C24=1,00|C25=366.677.400,00|C26=0,00
R1506|C2=|C3=03.2512025|C4=|C5=10-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=366.677.400,00|C23=1,00|C24=1,00|C25=366.677.400,00|C26=0,00
R1507|C2=|C3=03.2512048|C4=|C5=15-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=366.677.400,00|C23=1,00|C24=1,00|C25=366.677.400,00|C26=0,00
R1508|C2=|C3=03.2512058|C4=|C5=18-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=366.677.400,00|C23=1,00|C24=1,00|C25=366.677.400,00|C26=0,00
R1509|C2=|C3=03.2512061|C4=|C5=19-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=366.677.400,00|C23=1,00|C24=1,00|C25=366.677.400,00|C26=0,00
R1510|C2=|C3=03.2512071|C4=|C5=23-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=366.677.400,00|C23=1,00|C24=1,00|C25=366.677.400,00|C26=0,00
