
===== BANK SALDO JAN2026 PER ACCOUNT (DetailYN=1) =====
AccountCode	AccountDes	FinCatCode	saldo_awal	movement_jan	saldo_jan31
------------------------------------------------------------
100-001	Kas Kecil - A	BS2010	4761000.000000	167000.000000	4928000.000000
100-002	Kas Kecil - B	BS2010	0.000000	0.000000	0.000000
100-003	Kas Kecil - Diana	BS2010	11137750.000000	-6188400.000000	4949350.000000
100-101	Kas United State Dollar ( US$ )	BS2010	0.000000	0.000000	0.000000
101-001	BCA : 284-0032003  TAM OD	BS2011	0.000000	0.000000	0.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	BS2011	0.000000	0.000000	0.000000
101-011	BCA : 284-0066005  ( PT. TAM )	BS2011	5049572829.190000	-3766845537.860000	1282727291.330000
101-110	BCA US$ : 284-0020099 ( PT. TAM )	BS2011	511637903.610000	581677621.850000	1093315525.460000
101-111	BCA CNY : 284-9929989 ( PT. TAM )	BS2011	0.000000	0.000000	0.000000
101-201	Deposito - BCA ( Rp )	BS2011	5000000000.000000	-3000000000.000000	2000000000.000000
101-202	Deposito - Cadangan Gaji	BS2011	0.000000	0.000000	0.000000
(11 rows)

===== TOTAL BANK SALDO JAN2026 (BS2010+BS2011, DetailYN=1) =====
total_opening_1jan	total_movement_jan	total_saldo_jan31
------------------------------------------------------------
10577109482.800000	-6191189316.010000	4385920166.790000
(1 rows)

===== gl_balance 1/1/2026 for 101-201 and 101-202 =====
Period	AccountCode	AmountDebet	AmountCredit
------------------------------------------------------------
1/1/2026 12:00:00 AM	101-201	5000000000.000000	0.000000
1/1/2026 12:00:00 AM	101-202	0.000000	0.000000
1/1/2026 12:00:00 AM	101-300	0.000000	0.000000
(3 rows)

===== gl_balance ALL PERIODS FOR 101-201 AND 101-202 =====
Period	AccountCode	AmountDebet	AmountCredit
------------------------------------------------------------
1/1/2014 12:00:00 AM	101-201	0.000000	0.000000
1/1/2015 12:00:00 AM	101-201	0.000000	0.000000
1/1/2016 12:00:00 AM	101-201	7000000000.000000	0.000000
1/1/2017 12:00:00 AM	101-201	0.000000	0.000000
1/1/2018 12:00:00 AM	101-201	0.000000	0.000000
1/1/2019 12:00:00 AM	101-201	0.000000	0.000000
1/1/2020 12:00:00 AM	101-201	0.000000	0.000000
1/1/2021 12:00:00 AM	101-201	1000000000.000000	0.000000
1/1/2022 12:00:00 AM	101-201	15500000000.000000	0.000000
1/1/2023 12:00:00 AM	101-201	6500000015.000000	0.000000
1/1/2024 12:00:00 AM	101-201	0.000000	0.000000
1/1/2025 12:00:00 AM	101-201	5500000000.000000	0.000000
1/1/2026 12:00:00 AM	101-201	5000000000.000000	0.000000
1/1/2015 12:00:00 AM	101-202	91022321.000000	0.000000
1/1/2016 12:00:00 AM	101-202	91022321.000000	0.000000
1/1/2017 12:00:00 AM	101-202	0.000000	0.000000
1/1/2018 12:00:00 AM	101-202	0.000000	0.000000
1/1/2019 12:00:00 AM	101-202	0.000000	0.000000
1/1/2020 12:00:00 AM	101-202	0.000000	0.000000
1/1/2021 12:00:00 AM	101-202	0.000000	0.000000
1/1/2022 12:00:00 AM	101-202	0.000000	0.000000
1/1/2023 12:00:00 AM	101-202	0.000000	0.000000
1/1/2024 12:00:00 AM	101-202	0.000000	0.000000
1/1/2025 12:00:00 AM	101-202	0.000000	0.000000
1/1/2026 12:00:00 AM	101-202	0.000000	0.000000
(25 rows)

===== TBYR1 AR JAN2026 WITH VOUCHER_MANUAL AND AMOUNT =====
VOUCHER	TGL	VOUCHER_MANUAL	KETERANGAN	jml_bayar_idr
------------------------------------------------------------
26012004R001R	1/2/2026 12:00:00 AM	26012004R001	03.2511098 UNIT KE - 6 P226/07/25	761238000.00
26012004R002R	1/2/2026 12:00:00 AM	26012004R002	(01.2512034) 	2321010.00
26012004R003R	1/5/2026 12:00:00 AM	26012004R003	02.2601004 PEMBELIAN SPAREPART	1154400.00
26012004R004R	1/6/2026 12:00:00 AM	26012004R004	(01.2601001) 	6717165.00
26012004R005R	1/6/2026 12:00:00 AM	26012004R005	03.2512057 P333/11/25	94350000.00
26012004R006R	1/6/2026 12:00:00 AM	26012004R006	(01.2601003) 	144300.00
26012004R007R	1/6/2026 12:00:00 AM	26012004R007	(01.2601002) 	2321010.00
26012004R008R	1/6/2026 12:00:00 AM	26012004R008	(01.2601005) 	1010100.00
26012004R009R	1/6/2026 12:00:00 AM	26012004R009	(01.2601006) 	2321010.00
2601DPR001	1/6/2026 12:00:00 AM	2601DPR001	Bayar dari DP 25112004R098	20000000.00
26012004R010R	1/7/2026 12:00:00 AM	26012004R010	(01.2512028) 	7018530.00
26012004R011R	1/7/2026 12:00:00 AM	26012004R011	SERASI AUTO FK 01.2511048	3027525.00
26012004R012R	1/7/2026 12:00:00 AM	26012004R012	SERASI AUTO FK 01.2512012	2519700.00
26012004R013R	1/7/2026 12:00:00 AM	26012004R013	(01.2512004) 	10123200.00
26012004R014R	1/7/2026 12:00:00 AM	26012004R014	(01.2601004) 	6204900.00
26012004R015R	1/7/2026 12:00:00 AM	26012004R015	03.2511018 UNIT KE - 2 P202/07/25	136080000.00
26012004R016R	1/7/2026 12:00:00 AM	26012004R016	(01.2601007) 	4125315.00
26012004R017R	1/8/2026 12:00:00 AM	26012004R017	04.2512009 YAKULT - PURWODADI	52614000.00
26012004R018R	1/8/2026 12:00:00 AM	26012004R018	04.2512006 YAKULT - MOJOKERTO 	52614000.00
26012004R019R	1/8/2026 12:00:00 AM	26012004R019	(01.2511002) 	2136750.00
26012004R020R	1/8/2026 12:00:00 AM	26012004R020	02.2511022 NO PO : 4100140661	35282183.00
26012004R021R	1/8/2026 12:00:00 AM	26012004R021	02.2601009 PEMBELIAN SPAREPART	1598400.00
26012105R001R	1/8/2026 12:00:00 AM	26012105R001	03.2512078 KRISTAL P353/12/25 KE-2	387462816.00
26012004R022R	1/9/2026 12:00:00 AM	26012004R022	03.2512018 UNIT ONLY KE - 1 P371/12/25	74425500.00
26012004R023R	1/9/2026 12:00:00 AM	26012004R023	(01.2512044) 	2321010.00
26012004R024R	1/9/2026 12:00:00 AM	26012004R024	03.2512013 JUMA KE - 8 P226/07/25	761238000.00
26012004R025R	1/9/2026 12:00:00 AM	26012004R025	(01.2601008) 	7461420.00
26012004R026R	1/9/2026 12:00:00 AM	26012004R026	(01.2601010) 	21071130.00
26012004R027R	1/9/2026 12:00:00 AM	26012004R027	04.2512003 TY033/10/25	24000000.00
26012004R028R	1/10/2026 12:00:00 AM	26012004R028	03.2511097 P321/11/25	63270000.00
26012004R029R	1/10/2026 12:00:00 AM	26012004R029	02.2512013 PEMBELIAN SPAREPART	2927292.00
26012004R030R	1/12/2026 12:00:00 AM	26012004R030	SSS FK 01.2510048	52170000.00
26012004R031R	1/12/2026 12:00:00 AM	26012004R031	03.2512050 UNIT KE - 2 P196/06/25	103000000.00
26012004R032R	1/12/2026 12:00:00 AM	26012004R032	02.2507032 PEMBELIAN SPAREPART	23324577.00
26012004R033R	1/13/2026 12:00:00 AM	26012004R033	03.2512019 UNIT ONLY KE - 2 P371/12/25	74425500.00
