
===== GL_BALANCE for BS2011 accounts (ALL periods) =====
AccountCode	AccountDes	Period	AmountDebet	AmountCredit	net
--------------------------------------------------------------------------------
101-000	BANK ( Rp )	1/1/2010 12:00:00 AM	0.000000	0.000000	0.000000
101-000	BANK ( Rp )	1/1/2011 12:00:00 AM	0.000000	0.000000	0.000000
101-000	BANK ( Rp )	1/1/2012 12:00:00 AM	0.000000	0.000000	0.000000
101-000	BANK ( Rp )	1/1/2013 12:00:00 AM	0.000000	0.000000	0.000000
101-000	BANK ( Rp )	1/1/2018 12:00:00 AM	0.000000	0.000000	0.000000
101-000	BANK ( Rp )	1/1/2019 12:00:00 AM	0.000000	0.000000	0.000000
101-000	BANK ( Rp )	1/1/2020 12:00:00 AM	0.000000	0.000000	0.000000
101-000	BANK ( Rp )	1/1/2022 12:00:00 AM	0.000000	0.000000	0.000000
101-000	BANK ( Rp )	1/1/2023 12:00:00 AM	0.000000	0.000000	0.000000
101-000	BANK ( Rp )	1/1/2024 12:00:00 AM	0.000000	0.000000	0.000000
101-000	BANK ( Rp )	1/1/2025 12:00:00 AM	0.000000	0.000000	0.000000
101-000	BANK ( Rp )	1/1/2026 12:00:00 AM	0.000000	0.000000	0.000000
101-001	BCA : 284-0032003  TAM OD	1/1/2009 12:00:00 AM	72407791.000000	0.000000	72407791.000000
101-001	BCA : 284-0032003  TAM OD	1/1/2010 12:00:00 AM	72407791.000000	0.000000	72407791.000000
101-001	BCA : 284-0032003  TAM OD	1/1/2011 12:00:00 AM	72407791.000000	0.000000	72407791.000000
101-001	BCA : 284-0032003  TAM OD	1/1/2012 12:00:00 AM	72407791.000000	0.000000	72407791.000000
101-001	BCA : 284-0032003  TAM OD	1/1/2013 12:00:00 AM	72407791.000000	0.000000	72407791.000000
101-001	BCA : 284-0032003  TAM OD	1/1/2014 12:00:00 AM	0.000000	0.000000	0.000000
101-001	BCA : 284-0032003  TAM OD	1/1/2015 12:00:00 AM	0.000000	0.000000	0.000000
101-001	BCA : 284-0032003  TAM OD	1/1/2016 12:00:00 AM	0.000000	0.000000	0.000000
101-001	BCA : 284-0032003  TAM OD	1/1/2017 12:00:00 AM	0.000000	328154366.000000	-328154366.000000
101-001	BCA : 284-0032003  TAM OD	1/1/2018 12:00:00 AM	0.000000	2844822920.920000	-2844822920.920000
101-001	BCA : 284-0032003  TAM OD	1/1/2019 12:00:00 AM	11779592.620000	0.000000	11779592.620000
101-001	BCA : 284-0032003  TAM OD	1/1/2020 12:00:00 AM	0.000000	2091754702.390000	-2091754702.390000
101-001	BCA : 284-0032003  TAM OD	1/1/2021 12:00:00 AM	5334379.640000	0.000000	5334379.640000
101-001	BCA : 284-0032003  TAM OD	1/1/2022 12:00:00 AM	6299950.570000	0.000000	6299950.570000
101-001	BCA : 284-0032003  TAM OD	1/1/2023 12:00:00 AM	6151532.620000	0.000000	6151532.620000
101-001	BCA : 284-0032003  TAM OD	1/1/2024 12:00:00 AM	5791532.620000	0.000000	5791532.620000
101-001	BCA : 284-0032003  TAM OD	1/1/2025 12:00:00 AM	0.000000	0.000000	0.000000
101-001	BCA : 284-0032003  TAM OD	1/1/2026 12:00:00 AM	0.000000	0.000000	0.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2009 12:00:00 AM	0.000000	0.000000	0.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2010 12:00:00 AM	0.000000	0.000000	0.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2011 12:00:00 AM	0.000000	0.000000	0.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2012 12:00:00 AM	0.000000	0.000000	0.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2013 12:00:00 AM	0.000000	0.000000	0.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2014 12:00:00 AM	0.000000	0.000000	0.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2015 12:00:00 AM	4610819.000000	0.000000	4610819.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2016 12:00:00 AM	59263319.000000	0.000000	59263319.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2017 12:00:00 AM	11319386.000000	0.000000	11319386.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2018 12:00:00 AM	7050864.000000	0.000000	7050864.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2019 12:00:00 AM	6435351.000000	0.000000	6435351.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2020 12:00:00 AM	196087.000000	0.000000	196087.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2021 12:00:00 AM	196087.000000	0.000000	196087.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2022 12:00:00 AM	196087.000000	0.000000	196087.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2023 12:00:00 AM	196087.000000	0.000000	196087.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2024 12:00:00 AM	196087.000000	0.000000	196087.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2025 12:00:00 AM	196087.000000	0.000000	196087.000000
101-010	PERMATA : 504-000060 ( PT. TAM )	1/1/2026 12:00:00 AM	0.000000	0.000000	0.000000
101-011	BCA : 284-0066005  ( PT. TAM )	1/1/2009 12:00:00 AM	0.000000	0.000000	0.000000
101-011	BCA : 284-0066005  ( PT. TAM )	1/1/2010 12:00:00 AM	0.000000	0.000000	0.000000
101-011	BCA : 284-0066005  ( PT. TAM )	1/1/2011 12:00:00 AM	0.000000	0.000000	0.000000
101-011	BCA : 284-0066005  ( PT. TAM )	1/1/2012 12:00:00 AM	0.000000	0.000000	0.000000
101-011	BCA : 284-0066005  ( PT. TAM )	1/1/2013 12:00:00 AM	0.000000	0.000000	0.000000
101-011	BCA : 284-0066005  ( PT. TAM )	1/1/2014 12:00:00 AM	0.000000	0.000000	0.000000
101-011	BCA : 284-0066005  ( PT. TAM )	1/1/2015 12:00:00 AM	9797171319.000000	0.000000	9797171319.000000
101-011	BCA : 284-0066005  ( PT. TAM )	1/1/2016 12:00:00 AM	333491411.970000	0.000000	333491411.970000
101-011	BCA : 284-0066005  ( PT. TAM )	1/1/2017 12:00:00 AM	898770934.000000	0.000000	898770934.000000
101-011	BCA : 284-0066005  ( PT. TAM )	1/1/2018 12:00:00 AM	70916867.490000	0.000000	70916867.490000
101-011	BCA : 284-0066005  ( PT. TAM )	1/1/2019 12:00:00 AM	709311771.640000	0.000000	709311771.640000
