
===== gl_report_detail - all rows =====
site_id	report_id	report_line	account_id	description	trd123	t1	t2	t3	t4	report_row	report_space	description2	flag_omzet	flag_gp
--------------------------------------------------------------------------------
101		520	(null)	(null)	S	0	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
101		680	(null)	TOTAL PEMBAYARAN DIMUKA	S	0	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
101		690	(null)	(null)	S	0	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
101		700	(null)	PIUTANG PEMEGANG SAHAM	S	0	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
101		760	(null)	(null)	S	0	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
101	01	10	(null)	PENJUALAN	H	 	 	 	(null)	0	0	(null)	N	N
101	01	20	(null)	PENJUALAN UNIT PENDINGIN	S	 	 	 	(null)	0	0	(null)	N	N
101	01	30	400-001	     Unit Pendingin + Box - THERMO KING ( TR )	R	+	(null)	(null)	(null)	5	(null)	(null)	Y	Y
101	01	40	400-002	     Unit Pendingin - THERMO KING ( TR )	R	+	 	 	(null)	0	0	(null)	N	N
101	01	50	400-003	     Unit Pendingin + Box - FUJI ( FU )	R	+	 	 	(null)	0	0	(null)	N	N
101	01	60	400-004	     Unit Pendingin - FUJI ( FU )	R	+	 	 	(null)	0	0	(null)	N	N
101	01	70	(null)	TOTAL PENJUALAN UNIT PENDINGIN	1	0	+	 	(null)	0	0	(null)	N	N
101	01	80	(null)	     	S	 	 	 	(null)	0	0	(null)	N	N
101	01	90	(null)	PENJUALAN UNIT - BUS	S	 	 	 	(null)	0	0	(null)	N	N
101	01	100	400-006	     Unit AC Bus - THERMO KING ( TB )	R	+	 	 	(null)	0	0	(null)	N	N
101	01	110	(null)	TOTAL PENJUALAN UNIT BUS	1	0	+	 	(null)	0	0	(null)	N	N
101	01	120	(null)	     	S	 	 	 	(null)	0	0	(null)	N	N
101	01	130	(null)	PENJUALAN BOX FIBERGLASS	S	 	 	 	(null)	0	0	(null)	N	N
101	01	140	400-301	     Box Fiberglass - MAS	R	+	 	 	(null)	0	0	(null)	N	N
101	01	150	(null)	TOTAL PENJUALAN BOX FIBERGLASS	1	0	+	 	(null)	0	0	(null)	N	N
101	01	160	(null)	     	S	 	 	 	(null)	0	0	(null)	N	N
101	01	170	(null)	PENJUALAN SPARE PART	S	 	 	 	(null)	0	0	(null)	N	N
101	01	180	400-101	     Spare Parts - THERMO KING ( TS )	R	+	 	 	(null)	0	0	(null)	N	N
101	01	190	400-106	     Spare Parts - THERMO KING Lokal ( TL )	R	+	 	 	(null)	0	0	(null)	N	N
