group_product	jumlah	total
TR	19196	568712433109.03
TB	8066	283185108479.52
TS	14614	49511090434.06
L	9580	13534236658.38
TYU	2113	12042798864.00
NR	919	11635069532.47
FU	1454	9625628052.67
BCS	34	4940033410.61
BX	76	4288684469.10
TL	3014	3237234974.10
MT	2335	2243897714.00
JS03	5580	2079413480.00
JS04	5826	1408686000.00
FUS	34	1084057162.53
TY	303	830818976.00
JS01	378	695851498.00
NDS	173	686047639.00
JS05	1321	580583178.00
TA	29	205511398.02
LA	100	157547100.00
S	170	142182500.00
JS06	33	85342324.00
JS07	265	68029000.00
FS	26	54194386.28
OS	30	42025156.14
JS02	16	8277000.00
TYC	1	4800000.00
VL	5	0.00
