penjualan	group_product	jumlah	total
400-001	NR	919	11635069532.47
400-002	TR	19196	568712433109.03
400-003	TYU	2113	12042798864.00
400-004	FU	1454	9625628052.67
400-005	FUS	34	1084057162.53
400-006	VL	5	0.00
400-006	TB	8066	283185108479.52
400-018	BCS	34	4940033410.61
400-101	TS	14614	49511090434.06
400-103	NDS	173	686047639.00
400-106	TL	3014	3237234974.10
400-111	FS	26	54194386.28
400-113	OS	30	42025156.14
400-115	TY	303	830818976.00
400-115	TYC	1	4800000.00
400-121	LA	100	157547100.00
400-121	L	9580	13534236658.38
400-230	TA	29	205511398.02
400-301	BX	76	4288684469.10
400-401	S	170	142182500.00
400-410	MT	2335	2243897714.00
400-501	JS01	378	695851498.00
400-502	JS02	16	8277000.00
400-503	JS03	5580	2079413480.00
400-504	JS04	5826	1408686000.00
400-505	JS05	1321	580583178.00
400-506	JS06	33	85342324.00
400-507	JS07	265	68029000.00
